head sets: {'latents': {0: [3, 5, 6, 7]}, 'answer': {0: [0, 2, 4], 1: [0, 3, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 18.0  qk_removal +67.5/e0.27  l1_latents/path/alone -0.7/e0.15  l1_latents/path/plus_removal +66.9/e0.31  answer_heads/path/alone +0.1/e0.14  answer_heads/path/plus_removal +68.4/e0.26  all_routes/path/plus_removal +67.8/e0.29  all_routes/offpath/plus_removal +64.3/e0.29  l2_latents_mask/path/alone -6.5/e0.14
graph 11: base T 99.6  qk_removal -98.7/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -98.6/e0.00  all_routes/path/plus_removal -98.7/e0.00  all_routes/offpath/plus_removal -98.9/e0.00  l2_latents_mask/path/alone -93.4/e0.01
graph 12: base T 99.9  qk_removal -22.4/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -22.8/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -22.4/e0.00  all_routes/path/plus_removal -22.8/e0.00  all_routes/offpath/plus_removal -22.0/e0.00  l2_latents_mask/path/alone -0.7/e0.00
graph 13: base T 99.9  qk_removal -1.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.9/e0.00  all_routes/path/plus_removal -0.8/e0.00  all_routes/offpath/plus_removal -0.9/e0.00  l2_latents_mask/path/alone -0.2/e0.01
graph 14: base T 86.8  qk_removal -35.4/e0.00  l1_latents/path/alone +2.6/e0.00  l1_latents/path/plus_removal -33.1/e0.00  answer_heads/path/alone +2.1/e0.00  answer_heads/path/plus_removal -31.0/e0.00  all_routes/path/plus_removal -28.7/e0.00  all_routes/offpath/plus_removal -29.4/e0.00  l2_latents_mask/path/alone -15.3/e0.00
graph 15: base T 63.1  qk_removal -63.1/e0.00  l1_latents/path/alone -6.2/e0.00  l1_latents/path/plus_removal -63.1/e0.00  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -63.1/e0.00  all_routes/path/plus_removal -63.1/e0.00  all_routes/offpath/plus_removal -63.1/e0.00  l2_latents_mask/path/alone -62.9/e0.00
graph 16: base T 100.0  qk_removal -80.3/e0.56  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -68.6/e0.37  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -79.2/e0.51  all_routes/path/plus_removal -66.7/e0.32  all_routes/offpath/plus_removal -75.3/e0.37  l2_latents_mask/path/alone -59.2/e0.46
graph 17: base T 99.9  qk_removal -0.6/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.00  all_routes/path/plus_removal -0.5/e0.00  all_routes/offpath/plus_removal -0.3/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 18: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 19: base T 100.0  qk_removal -0.3/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.3/e0.01  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -1.3/e0.05  l2_latents_mask/path/alone -3.3/e0.61
graph 20: base T 98.7  qk_removal -86.3/e0.11  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -82.1/e0.08  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -86.0/e0.11  all_routes/path/plus_removal -81.7/e0.09  all_routes/offpath/plus_removal -88.2/e0.09  l2_latents_mask/path/alone -10.4/e0.06
graph 21: base T 100.0  qk_removal -0.5/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -1.2/e0.03  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.02  all_routes/path/plus_removal -1.1/e0.03  all_routes/offpath/plus_removal -0.7/e0.02  l2_latents_mask/path/alone -0.0/e0.00
graph 22: base T 99.9  qk_removal -1.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -2.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.4/e0.01  all_routes/path/plus_removal -1.8/e0.01  all_routes/offpath/plus_removal -1.7/e0.01  l2_latents_mask/path/alone -5.0/e0.02
graph 23: base T 100.0  qk_removal -97.9/e0.04  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.6/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -97.9/e0.04  all_routes/path/plus_removal -98.6/e0.02  all_routes/offpath/plus_removal -98.5/e0.01  l2_latents_mask/path/alone -98.3/e0.01
graph 24: base T 0.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone +0.0/e0.00
graph 25: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.2/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.0/e0.01
graph 26: base T 98.3  qk_removal -0.9/e0.02  l1_latents/path/alone -0.4/e0.11  l1_latents/path/plus_removal -1.5/e0.03  answer_heads/path/alone -0.0/e0.10  answer_heads/path/plus_removal -0.9/e0.02  all_routes/path/plus_removal -1.5/e0.03  all_routes/offpath/plus_removal -2.0/e0.02  l2_latents_mask/path/alone -0.3/e0.51
graph 27: base T 100.0  qk_removal -95.5/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -94.4/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -95.5/e0.00  all_routes/path/plus_removal -94.3/e0.00  all_routes/offpath/plus_removal -95.7/e0.00  l2_latents_mask/path/alone -42.7/e0.04
graph 28: base T 100.0  qk_removal -8.2/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -6.3/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -7.8/e0.01  all_routes/path/plus_removal -6.0/e0.01  all_routes/offpath/plus_removal -6.5/e0.01  l2_latents_mask/path/alone -72.8/e0.00
graph 29: base T 100.0  qk_removal -0.2/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.2/e0.00  l2_latents_mask/path/alone -0.5/e0.00
graph 30: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 31: base T 23.4  qk_removal -23.4/e0.00  l1_latents/path/alone -4.3/e0.00  l1_latents/path/plus_removal -23.4/e0.00  answer_heads/path/alone +0.5/e0.00  answer_heads/path/plus_removal -23.4/e0.00  all_routes/path/plus_removal -23.4/e0.00  all_routes/offpath/plus_removal -23.4/e0.00  l2_latents_mask/path/alone -23.4/e0.00
graph 32: base T 100.0  qk_removal -96.4/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.8/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -96.5/e0.03  all_routes/path/plus_removal -98.8/e0.00  all_routes/offpath/plus_removal -92.9/e0.05  l2_latents_mask/path/alone -98.9/e0.00
graph 33: base T 100.0  qk_removal -27.3/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -24.1/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -25.0/e0.02  all_routes/path/plus_removal -21.8/e0.01  all_routes/offpath/plus_removal -23.9/e0.01  l2_latents_mask/path/alone -0.5/e0.00
graph 34: base T 99.9  qk_removal -58.6/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -58.2/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -56.8/e0.03  all_routes/path/plus_removal -56.4/e0.04  all_routes/offpath/plus_removal -47.1/e0.02  l2_latents_mask/path/alone -25.1/e0.02
graph 35: base T 99.7  qk_removal -89.8/e0.53  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -87.0/e0.53  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -89.0/e0.55  all_routes/path/plus_removal -86.0/e0.55  all_routes/offpath/plus_removal -93.0/e0.33  l2_latents_mask/path/alone -85.6/e0.03
graph 36: base T 99.9  qk_removal -15.4/e0.09  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -15.2/e0.05  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -16.2/e0.10  all_routes/path/plus_removal -15.9/e0.05  all_routes/offpath/plus_removal -25.8/e0.08  l2_latents_mask/path/alone +0.0/e0.00
graph 37: base T 100.0  qk_removal -83.9/e0.09  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -86.3/e0.09  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -84.1/e0.10  all_routes/path/plus_removal -86.5/e0.10  all_routes/offpath/plus_removal -81.3/e0.07  l2_latents_mask/path/alone -70.7/e0.07
graph 38: base T 61.8  qk_removal +33.8/e0.03  l1_latents/path/alone -1.3/e0.01  l1_latents/path/plus_removal +34.0/e0.03  answer_heads/path/alone -0.1/e0.01  answer_heads/path/plus_removal +33.8/e0.03  all_routes/path/plus_removal +34.0/e0.03  all_routes/offpath/plus_removal +33.5/e0.03  l2_latents_mask/path/alone +33.1/e0.01
graph 39: base T 100.0  qk_removal -11.3/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -8.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -10.9/e0.00  all_routes/path/plus_removal -8.5/e0.00  all_routes/offpath/plus_removal -10.9/e0.00  l2_latents_mask/path/alone -2.7/e0.00
graph 40: base T 100.0  qk_removal -23.6/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -34.7/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -25.6/e0.01  all_routes/path/plus_removal -37.4/e0.01  all_routes/offpath/plus_removal -22.5/e0.01  l2_latents_mask/path/alone -0.2/e0.00
graph 41: base T 99.9  qk_removal -90.2/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -89.5/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -90.2/e0.01  all_routes/path/plus_removal -89.5/e0.01  all_routes/offpath/plus_removal -92.2/e0.01  l2_latents_mask/path/alone -67.1/e0.06
graph 42: base T 100.0  qk_removal -97.5/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -97.5/e0.01  all_routes/path/plus_removal -98.0/e0.00  all_routes/offpath/plus_removal -97.9/e0.00  l2_latents_mask/path/alone -12.9/e0.05
graph 43: base T 100.0  qk_removal -30.3/e0.73  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -56.5/e0.35  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -33.1/e0.74  all_routes/path/plus_removal -60.1/e0.34  all_routes/offpath/plus_removal -52.8/e0.70  l2_latents_mask/path/alone -5.4/e0.21
graph 44: base T 1.4  qk_removal +16.3/e0.01  l1_latents/path/alone +0.2/e0.00  l1_latents/path/plus_removal +17.9/e0.01  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal +16.1/e0.01  all_routes/path/plus_removal +17.7/e0.01  all_routes/offpath/plus_removal +22.5/e0.02  l2_latents_mask/path/alone -0.8/e0.00
graph 45: base T 100.0  qk_removal -0.2/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.5/e0.00  l2_latents_mask/path/alone -0.1/e0.00
graph 46: base T 100.0  qk_removal -74.8/e0.02  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -70.5/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -75.0/e0.02  all_routes/path/plus_removal -70.7/e0.02  all_routes/offpath/plus_removal -69.8/e0.02  l2_latents_mask/path/alone -72.0/e0.01
graph 47: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -64.5/e0.08
graph 48: base T 97.4  qk_removal -84.5/e0.04  l1_latents/path/alone -0.6/e0.00  l1_latents/path/plus_removal -87.6/e0.03  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -84.6/e0.04  all_routes/path/plus_removal -87.7/e0.03  all_routes/offpath/plus_removal -86.1/e0.03  l2_latents_mask/path/alone -93.9/e0.01
graph 49: base T 100.0  qk_removal -3.4/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -3.7/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.3/e0.02  all_routes/path/plus_removal -3.6/e0.02  all_routes/offpath/plus_removal -3.4/e0.02  l2_latents_mask/path/alone -0.1/e0.00
graph 50: base T 96.5  qk_removal -96.0/e0.00  l1_latents/path/alone +0.5/e0.00  l1_latents/path/plus_removal -95.9/e0.00  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -96.0/e0.00  all_routes/path/plus_removal -96.0/e0.00  all_routes/offpath/plus_removal -96.2/e0.00  l2_latents_mask/path/alone -36.3/e0.01
graph 51: base T 98.0  qk_removal -71.7/e0.00  l1_latents/path/alone -1.5/e0.00  l1_latents/path/plus_removal -77.4/e0.01  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -69.9/e0.01  all_routes/path/plus_removal -75.5/e0.01  all_routes/offpath/plus_removal -69.8/e0.00  l2_latents_mask/path/alone -78.5/e0.00
graph 52: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -2.3/e0.06
graph 53: base T 100.0  qk_removal -20.4/e0.05  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -23.1/e0.05  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -20.0/e0.05  all_routes/path/plus_removal -22.7/e0.05  all_routes/offpath/plus_removal -21.2/e0.05  l2_latents_mask/path/alone -79.7/e0.04
graph 54: base T 100.0  qk_removal -99.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.8/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -99.0/e0.00  all_routes/path/plus_removal -98.9/e0.00  all_routes/offpath/plus_removal -98.6/e0.00  l2_latents_mask/path/alone -82.9/e0.01
graph 55: base T 100.0  qk_removal -72.1/e0.06  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -79.1/e0.05  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -70.1/e0.06  all_routes/path/plus_removal -77.6/e0.05  all_routes/offpath/plus_removal -79.8/e0.06  l2_latents_mask/path/alone -16.3/e0.94
graph 56: base T 98.9  qk_removal -98.9/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -98.9/e0.00  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -98.9/e0.00  all_routes/path/plus_removal -98.9/e0.00  all_routes/offpath/plus_removal -98.9/e0.00  l2_latents_mask/path/alone -98.9/e0.00
graph 57: base T 99.9  qk_removal -40.9/e0.56  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -45.9/e0.24  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -41.7/e0.56  all_routes/path/plus_removal -46.7/e0.23  all_routes/offpath/plus_removal -41.3/e0.53  l2_latents_mask/path/alone -17.8/e0.80
graph 58: base T 100.0  qk_removal -94.0/e0.12  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -94.1/e0.13  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -94.4/e0.11  all_routes/path/plus_removal -94.4/e0.12  all_routes/offpath/plus_removal -94.6/e0.11  l2_latents_mask/path/alone -25.9/e0.10
graph 59: base T 100.0  qk_removal -9.9/e0.09  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -11.2/e0.12  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -13.0/e0.11  all_routes/path/plus_removal -14.8/e0.14  all_routes/offpath/plus_removal -11.7/e0.12  l2_latents_mask/path/alone -78.3/e0.15
graph 60: base T 100.0  qk_removal +0.0/e0.01  l1_latents/path/alone +0.0/e0.20  l1_latents/path/plus_removal +0.0/e0.01  answer_heads/path/alone -0.0/e0.21  answer_heads/path/plus_removal +0.0/e0.01  all_routes/path/plus_removal +0.0/e0.01  all_routes/offpath/plus_removal +0.0/e0.01  l2_latents_mask/path/alone +0.0/e0.04
graph 61: base T 100.0  qk_removal -13.9/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -12.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -14.0/e0.01  all_routes/path/plus_removal -12.1/e0.00  all_routes/offpath/plus_removal -13.3/e0.01  l2_latents_mask/path/alone -90.8/e0.00
graph 62: base T 100.0  qk_removal -4.9/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -5.6/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.4/e0.02  all_routes/path/plus_removal -5.0/e0.02  all_routes/offpath/plus_removal -4.6/e0.02  l2_latents_mask/path/alone -2.4/e0.01
graph 63: base T 99.0  qk_removal -42.7/e0.05  l1_latents/path/alone +0.1/e0.00  l1_latents/path/plus_removal -44.9/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -42.8/e0.05  all_routes/path/plus_removal -45.0/e0.05  all_routes/offpath/plus_removal -39.1/e0.05  l2_latents_mask/path/alone -20.3/e0.04
graph 64: base T 100.0  qk_removal -0.4/e0.18  l1_latents/path/alone -0.0/e0.01  l1_latents/path/plus_removal -0.4/e0.17  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.19  all_routes/path/plus_removal -0.5/e0.17  all_routes/offpath/plus_removal -1.0/e0.14  l2_latents_mask/path/alone -0.2/e0.09
graph 65: base T 100.0  qk_removal -0.0/e0.29  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.29  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.27  all_routes/path/plus_removal -0.0/e0.28  all_routes/offpath/plus_removal -0.0/e0.05  l2_latents_mask/path/alone -0.1/e0.41
graph 66: base T 5.1  qk_removal -3.4/e0.00  l1_latents/path/alone -0.6/e0.00  l1_latents/path/plus_removal -3.5/e0.00  answer_heads/path/alone -0.7/e0.00  answer_heads/path/plus_removal -3.5/e0.00  all_routes/path/plus_removal -3.6/e0.00  all_routes/offpath/plus_removal -3.7/e0.00  l2_latents_mask/path/alone -3.7/e0.00
graph 67: base T 100.0  qk_removal -99.2/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -99.2/e0.00  all_routes/path/plus_removal -99.1/e0.00  all_routes/offpath/plus_removal -99.1/e0.00  l2_latents_mask/path/alone -99.7/e0.00
graph 68: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 69: base T 99.1  qk_removal -81.5/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -78.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -81.3/e0.00  all_routes/path/plus_removal -78.4/e0.00  all_routes/offpath/plus_removal -77.8/e0.00  l2_latents_mask/path/alone -32.2/e0.01
graph 70: base T 100.0  qk_removal -33.9/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -33.8/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -34.4/e0.00  all_routes/path/plus_removal -34.3/e0.01  all_routes/offpath/plus_removal -50.5/e0.01  l2_latents_mask/path/alone -21.9/e0.05
graph 71: base T 100.0  qk_removal -0.6/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.4/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.6/e0.00  all_routes/path/plus_removal -0.4/e0.00  all_routes/offpath/plus_removal -0.5/e0.00  l2_latents_mask/path/alone -0.4/e0.04
graph 72: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.6/e0.01
