head sets: {'latents': {0: [1, 3, 5, 6, 7]}, 'answer': {0: [0], 1: [2, 4]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  l1_latents/path/alone -3.1/e0.01  l1_latents/path/plus_removal -36.2/e0.12  answer_heads/path/alone -0.2/e0.01  answer_heads/path/plus_removal -34.6/e0.11  all_routes/path/plus_removal -36.5/e0.12  all_routes/offpath/plus_removal -41.5/e0.09  l2_latents_mask/path/alone -4.6/e0.02
graph 11: base T 100.0  qk_removal -0.6/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.6/e0.00  all_routes/path/plus_removal -0.6/e0.00  all_routes/offpath/plus_removal -1.0/e0.00  l2_latents_mask/path/alone -0.3/e0.00
graph 12: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.01
graph 13: base T 99.9  qk_removal -4.2/e0.00  l1_latents/path/alone -0.3/e0.00  l1_latents/path/plus_removal -5.2/e0.00  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -3.4/e0.00  all_routes/path/plus_removal -4.3/e0.00  all_routes/offpath/plus_removal -4.8/e0.00  l2_latents_mask/path/alone -34.6/e0.00
graph 14: base T 81.3  qk_removal -10.7/e0.00  l1_latents/path/alone +1.1/e0.05  l1_latents/path/plus_removal -13.0/e0.00  answer_heads/path/alone -0.2/e0.04  answer_heads/path/plus_removal -11.1/e0.00  all_routes/path/plus_removal -13.5/e0.00  all_routes/offpath/plus_removal +0.6/e0.00  l2_latents_mask/path/alone -8.1/e0.03
graph 15: base T 100.0  qk_removal -95.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -95.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -95.7/e0.01  all_routes/path/plus_removal -95.1/e0.01  all_routes/offpath/plus_removal -96.5/e0.01  l2_latents_mask/path/alone -18.9/e0.02
graph 16: base T 100.0  qk_removal -0.8/e0.06  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.03  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.8/e0.06  all_routes/path/plus_removal -0.5/e0.03  all_routes/offpath/plus_removal -0.8/e0.06  l2_latents_mask/path/alone -2.0/e0.25
graph 17: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.1/e0.00
graph 18: base T 100.0  qk_removal -3.9/e0.21  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -3.2/e0.18  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.9/e0.21  all_routes/path/plus_removal -3.2/e0.18  all_routes/offpath/plus_removal -3.4/e0.16  l2_latents_mask/path/alone -0.0/e0.00
graph 19: base T 100.0  qk_removal -2.6/e0.02  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -1.5/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.5/e0.02  all_routes/path/plus_removal -1.5/e0.02  all_routes/offpath/plus_removal -1.4/e0.02  l2_latents_mask/path/alone -0.7/e0.06
graph 20: base T 100.0  qk_removal -3.0/e0.33  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -3.0/e0.21  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.9/e0.33  all_routes/path/plus_removal -2.9/e0.20  all_routes/offpath/plus_removal -2.6/e0.31  l2_latents_mask/path/alone -1.9/e0.44
graph 21: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -1.6/e0.00
graph 22: base T 96.5  qk_removal +2.6/e0.00  l1_latents/path/alone -1.7/e0.00  l1_latents/path/plus_removal +1.7/e0.00  answer_heads/path/alone +0.2/e0.00  answer_heads/path/plus_removal +2.6/e0.00  all_routes/path/plus_removal +1.8/e0.00  all_routes/offpath/plus_removal +3.0/e0.00  l2_latents_mask/path/alone +2.7/e0.00
graph 23: base T 100.0  qk_removal -3.7/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -3.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.7/e0.01  all_routes/path/plus_removal -3.2/e0.01  all_routes/offpath/plus_removal -4.2/e0.02  l2_latents_mask/path/alone -22.8/e0.02
graph 24: base T 0.0  qk_removal +0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal +0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal +0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone +0.0/e0.00
graph 25: base T 100.0  qk_removal -0.2/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.4/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.4/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.0/e0.01
graph 26: base T 83.8  qk_removal -69.4/e0.00  l1_latents/path/alone -0.3/e0.00  l1_latents/path/plus_removal -69.2/e0.00  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -69.4/e0.00  all_routes/path/plus_removal -69.2/e0.00  all_routes/offpath/plus_removal -74.8/e0.00  l2_latents_mask/path/alone -49.7/e0.00
graph 27: base T 100.0  qk_removal -31.9/e0.25  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -33.5/e0.27  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -31.5/e0.25  all_routes/path/plus_removal -33.1/e0.26  all_routes/offpath/plus_removal -40.8/e0.25  l2_latents_mask/path/alone -47.1/e0.38
graph 28: base T 99.9  qk_removal -55.5/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -49.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -55.3/e0.00  all_routes/path/plus_removal -49.4/e0.00  all_routes/offpath/plus_removal -46.7/e0.00  l2_latents_mask/path/alone -50.9/e0.00
graph 29: base T 99.1  qk_removal -20.5/e0.01  l1_latents/path/alone -0.1/e0.01  l1_latents/path/plus_removal -16.3/e0.01  answer_heads/path/alone +0.3/e0.01  answer_heads/path/plus_removal -15.7/e0.01  all_routes/path/plus_removal -12.2/e0.01  all_routes/offpath/plus_removal -22.3/e0.01  l2_latents_mask/path/alone -5.4/e0.03
graph 30: base T 99.9  qk_removal -2.4/e0.05  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -2.3/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.3/e0.05  all_routes/path/plus_removal -2.2/e0.04  all_routes/offpath/plus_removal -2.5/e0.05  l2_latents_mask/path/alone -0.3/e0.04
graph 31: base T 99.6  qk_removal -99.6/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -99.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -99.6/e0.00  all_routes/path/plus_removal -99.5/e0.00  all_routes/offpath/plus_removal -99.6/e0.00  l2_latents_mask/path/alone -99.0/e0.00
graph 32: base T 100.0  qk_removal -1.8/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -2.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.7/e0.02  all_routes/path/plus_removal -2.1/e0.01  all_routes/offpath/plus_removal -1.1/e0.02  l2_latents_mask/path/alone -54.5/e0.01
graph 33: base T 99.9  qk_removal -68.8/e0.02  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -61.8/e0.02  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -67.7/e0.02  all_routes/path/plus_removal -60.5/e0.02  all_routes/offpath/plus_removal -65.5/e0.02  l2_latents_mask/path/alone -1.5/e0.00
graph 34: base T 100.0  qk_removal -3.2/e0.03  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -3.1/e0.03  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.7/e0.03  all_routes/path/plus_removal -2.7/e0.03  all_routes/offpath/plus_removal -3.8/e0.02  l2_latents_mask/path/alone -3.4/e0.32
graph 35: base T 94.3  qk_removal -92.9/e0.00  l1_latents/path/alone +1.5/e0.00  l1_latents/path/plus_removal -92.6/e0.00  answer_heads/path/alone +0.3/e0.00  answer_heads/path/plus_removal -92.8/e0.00  all_routes/path/plus_removal -92.6/e0.00  all_routes/offpath/plus_removal -92.7/e0.00  l2_latents_mask/path/alone -87.9/e0.00
graph 36: base T 100.0  qk_removal -9.9/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -12.6/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -8.9/e0.02  all_routes/path/plus_removal -11.6/e0.01  all_routes/offpath/plus_removal -13.3/e0.02  l2_latents_mask/path/alone -59.9/e0.00
graph 37: base T 98.0  qk_removal -91.0/e0.01  l1_latents/path/alone -7.3/e0.00  l1_latents/path/plus_removal -92.3/e0.01  answer_heads/path/alone +0.2/e0.00  answer_heads/path/plus_removal -90.7/e0.01  all_routes/path/plus_removal -92.0/e0.01  all_routes/offpath/plus_removal -93.4/e0.01  l2_latents_mask/path/alone -74.5/e0.01
graph 38: base T 100.0  qk_removal -40.5/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -40.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -38.7/e0.00  all_routes/path/plus_removal -38.4/e0.00  all_routes/offpath/plus_removal -42.3/e0.00  l2_latents_mask/path/alone -4.9/e0.00
graph 39: base T 80.5  qk_removal +2.4/e0.00  l1_latents/path/alone +0.2/e0.00  l1_latents/path/plus_removal -18.6/e0.00  answer_heads/path/alone +0.3/e0.00  answer_heads/path/plus_removal +7.5/e0.00  all_routes/path/plus_removal -9.3/e0.00  all_routes/offpath/plus_removal +3.1/e0.00  l2_latents_mask/path/alone -7.0/e0.00
graph 40: base T 99.4  qk_removal -29.1/e0.03  l1_latents/path/alone -0.3/e0.00  l1_latents/path/plus_removal -30.9/e0.02  answer_heads/path/alone -0.1/e0.00  answer_heads/path/plus_removal -32.0/e0.03  all_routes/path/plus_removal -33.8/e0.02  all_routes/offpath/plus_removal -31.6/e0.03  l2_latents_mask/path/alone -27.5/e0.03
graph 41: base T 97.3  qk_removal -91.0/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -90.3/e0.00  answer_heads/path/alone +2.3/e0.00  answer_heads/path/plus_removal -59.1/e0.00  all_routes/path/plus_removal -56.6/e0.00  all_routes/offpath/plus_removal -93.7/e0.00  l2_latents_mask/path/alone -37.1/e0.02
graph 42: base T 95.9  qk_removal -93.9/e0.00  l1_latents/path/alone -4.0/e0.00  l1_latents/path/plus_removal -93.7/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -93.9/e0.00  all_routes/path/plus_removal -93.8/e0.00  all_routes/offpath/plus_removal -93.2/e0.00  l2_latents_mask/path/alone -95.3/e0.02
graph 43: base T 100.0  qk_removal -0.7/e0.46  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.9/e0.22  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.7/e0.49  all_routes/path/plus_removal -0.9/e0.24  all_routes/offpath/plus_removal -1.1/e0.50  l2_latents_mask/path/alone -0.5/e0.32
graph 44: base T 99.5  qk_removal -0.4/e0.01  l1_latents/path/alone -0.4/e0.01  l1_latents/path/plus_removal -0.8/e0.01  answer_heads/path/alone -0.1/e0.01  answer_heads/path/plus_removal -0.4/e0.01  all_routes/path/plus_removal -0.9/e0.01  all_routes/offpath/plus_removal -0.3/e0.01  l2_latents_mask/path/alone -0.6/e0.01
graph 45: base T 100.0  qk_removal -0.4/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.4/e0.00  all_routes/path/plus_removal -0.5/e0.00  all_routes/offpath/plus_removal -0.4/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 46: base T 99.5  qk_removal -99.3/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.3/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -99.3/e0.00  all_routes/path/plus_removal -99.3/e0.00  all_routes/offpath/plus_removal -99.3/e0.00  l2_latents_mask/path/alone -99.5/e0.00
graph 47: base T 99.2  qk_removal -96.7/e0.01  l1_latents/path/alone +0.1/e0.00  l1_latents/path/plus_removal -93.7/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -96.7/e0.01  all_routes/path/plus_removal -93.7/e0.01  all_routes/offpath/plus_removal -96.5/e0.01  l2_latents_mask/path/alone -99.0/e0.00
graph 48: base T 93.0  qk_removal -93.0/e0.00  l1_latents/path/alone +1.6/e0.00  l1_latents/path/plus_removal -93.0/e0.00  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -93.0/e0.00  all_routes/path/plus_removal -93.0/e0.00  all_routes/offpath/plus_removal -93.0/e0.00  l2_latents_mask/path/alone -92.8/e0.00
graph 49: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.15
graph 50: base T 100.0  qk_removal -21.7/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -20.4/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -21.9/e0.00  all_routes/path/plus_removal -20.6/e0.00  all_routes/offpath/plus_removal -26.6/e0.00  l2_latents_mask/path/alone -36.5/e0.00
graph 51: base T 100.0  qk_removal -92.6/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -89.9/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -92.6/e0.00  all_routes/path/plus_removal -89.9/e0.00  all_routes/offpath/plus_removal -93.7/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 52: base T 100.0  qk_removal +0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal +0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal +0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone -17.2/e0.26
graph 53: base T 99.8  qk_removal -5.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -6.3/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -5.7/e0.01  all_routes/path/plus_removal -6.3/e0.01  all_routes/offpath/plus_removal -5.6/e0.01  l2_latents_mask/path/alone -4.7/e0.01
graph 54: base T 100.0  qk_removal -5.1/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -5.9/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.3/e0.01  all_routes/path/plus_removal -2.6/e0.01  all_routes/offpath/plus_removal -5.7/e0.01  l2_latents_mask/path/alone -2.0/e0.06
graph 55: base T 100.0  qk_removal -0.9/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.8/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.8/e0.01  all_routes/path/plus_removal -0.8/e0.01  all_routes/offpath/plus_removal -1.3/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 56: base T 99.3  qk_removal -99.1/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -99.1/e0.00  answer_heads/path/alone +0.5/e0.00  answer_heads/path/plus_removal -99.0/e0.00  all_routes/path/plus_removal -99.0/e0.00  all_routes/offpath/plus_removal -99.2/e0.00  l2_latents_mask/path/alone -94.1/e0.00
graph 57: base T 100.0  qk_removal -1.4/e0.06  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -1.4/e0.04  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.4/e0.06  all_routes/path/plus_removal -1.4/e0.04  all_routes/offpath/plus_removal -1.5/e0.06  l2_latents_mask/path/alone -0.7/e0.01
graph 58: base T 100.0  qk_removal -7.0/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -7.0/e0.03  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -6.6/e0.03  all_routes/path/plus_removal -6.6/e0.03  all_routes/offpath/plus_removal -6.3/e0.03  l2_latents_mask/path/alone -0.4/e0.04
graph 59: base T 100.0  qk_removal -34.7/e0.94  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -35.2/e0.95  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -35.0/e0.94  all_routes/path/plus_removal -35.5/e0.95  all_routes/offpath/plus_removal -43.0/e0.88  l2_latents_mask/path/alone -10.5/e0.99
graph 60: base T 100.0  qk_removal -0.0/e0.25  l1_latents/path/alone +0.0/e0.39  l1_latents/path/plus_removal -0.0/e0.28  answer_heads/path/alone -0.0/e0.45  answer_heads/path/plus_removal -0.0/e0.25  all_routes/path/plus_removal -0.0/e0.28  all_routes/offpath/plus_removal -0.0/e0.27  l2_latents_mask/path/alone -0.0/e0.04
graph 61: base T 100.0  qk_removal -0.2/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.2/e0.00  l2_latents_mask/path/alone -0.2/e0.00
graph 62: base T 100.0  qk_removal -2.9/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -3.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -2.9/e0.00  all_routes/path/plus_removal -3.0/e0.00  all_routes/offpath/plus_removal -3.0/e0.00  l2_latents_mask/path/alone -0.5/e0.00
graph 63: base T 100.0  qk_removal -4.0/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -6.0/e0.02  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -4.1/e0.02  all_routes/path/plus_removal -6.1/e0.02  all_routes/offpath/plus_removal -5.6/e0.02  l2_latents_mask/path/alone -9.6/e0.01
graph 64: base T 100.0  qk_removal -0.1/e0.25  l1_latents/path/alone -0.0/e0.01  l1_latents/path/plus_removal -0.1/e0.23  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.25  all_routes/path/plus_removal -0.1/e0.23  all_routes/offpath/plus_removal -0.1/e0.04  l2_latents_mask/path/alone -0.0/e0.02
graph 65: base T 100.0  qk_removal -1.1/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -1.7/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.1/e0.03  all_routes/path/plus_removal -1.7/e0.02  all_routes/offpath/plus_removal -1.1/e0.03  l2_latents_mask/path/alone -1.7/e0.01
graph 66: base T 0.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 67: base T 100.0  qk_removal -0.2/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.02  all_routes/path/plus_removal -0.2/e0.01  all_routes/offpath/plus_removal -0.2/e0.02  l2_latents_mask/path/alone -0.1/e0.01
graph 68: base T 99.8  qk_removal -1.1/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -1.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -1.1/e0.00  all_routes/path/plus_removal -1.7/e0.00  all_routes/offpath/plus_removal -1.8/e0.00  l2_latents_mask/path/alone -47.3/e0.01
graph 69: base T 100.0  qk_removal -0.8/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.5/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.3/e0.00  all_routes/path/plus_removal -0.2/e0.00  all_routes/offpath/plus_removal -1.5/e0.00  l2_latents_mask/path/alone -0.2/e0.00
graph 70: base T 99.9  qk_removal -95.4/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -96.8/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -95.5/e0.01  all_routes/path/plus_removal -96.9/e0.00  all_routes/offpath/plus_removal -96.8/e0.00  l2_latents_mask/path/alone -99.3/e0.01
graph 71: base T 100.0  qk_removal -53.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -72.3/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -54.7/e0.01  all_routes/path/plus_removal -73.2/e0.00  all_routes/offpath/plus_removal -52.4/e0.01  l2_latents_mask/path/alone -6.2/e0.24
graph 72: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.0/e0.01  all_routes/offpath/plus_removal -0.1/e0.02  l2_latents_mask/path/alone -0.0/e0.01
