`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  qk_removal -34.3/e0.11  mlp/answer/L1/mean/alone +28.5/e0.05  mlp/answer/L1/same_answer/alone +28.3/e0.00  mlp/answer/L1/random/alone +27.6/e1.00  thoughtK/same_answer/plus_removal +27.9/e0.00  thoughtK/random/plus_removal +21.2/e1.00  decoy_edges/path/plus_removal -32.6/e0.12  cand_tokens/path/alone +23.1/e0.01
graph 11: base T 100.0  qk_removal -0.6/e0.00  mlp/answer/L1/mean/alone -1.4/e0.02  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -0.6/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 12: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.1/e0.76  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -34.2/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -49.1/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 13: base T 99.9  qk_removal -4.2/e0.00  mlp/answer/L1/mean/alone -39.3/e0.11  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.1/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.1/e0.00  decoy_edges/path/plus_removal -11.4/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 14: base T 81.3  qk_removal -10.7/e0.00  mlp/answer/L1/mean/alone +14.1/e0.01  mlp/answer/L1/same_answer/alone +18.7/e0.00  mlp/answer/L1/random/alone -71.9/e1.00  thoughtK/same_answer/plus_removal +18.7/e0.00  thoughtK/random/plus_removal -69.9/e0.99  decoy_edges/path/plus_removal -52.1/e0.00  cand_tokens/path/alone -8.6/e0.08
graph 15: base T 100.0  qk_removal -95.7/e0.01  mlp/answer/L1/mean/alone -1.6/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -24.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -25.9/e1.00  decoy_edges/path/plus_removal -96.3/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 16: base T 100.0  qk_removal -0.8/e0.06  mlp/answer/L1/mean/alone -3.1/e0.22  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -4.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -2.8/e1.00  decoy_edges/path/plus_removal -0.7/e0.07  cand_tokens/path/alone -0.0/e0.00
graph 17: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.1/e0.26  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -6.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -45.6/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 18: base T 100.0  qk_removal -3.9/e0.21  mlp/answer/L1/mean/alone -1.1/e0.23  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -23.0/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -83.2/e1.00  decoy_edges/path/plus_removal -3.9/e0.20  cand_tokens/path/alone +0.0/e0.00
graph 19: base T 100.0  qk_removal -2.6/e0.02  mlp/answer/L1/mean/alone -0.0/e0.00  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -94.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -98.4/e1.00  decoy_edges/path/plus_removal -2.7/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 20: base T 100.0  qk_removal -3.0/e0.33  mlp/answer/L1/mean/alone -0.2/e0.44  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -4.7/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -38.4/e1.00  decoy_edges/path/plus_removal -2.8/e0.32  cand_tokens/path/alone +0.0/e0.00
graph 21: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -91.0/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -97.0/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 22: base T 96.5  qk_removal +2.6/e0.00  mlp/answer/L1/mean/alone +1.4/e0.02  mlp/answer/L1/same_answer/alone +3.4/e0.00  mlp/answer/L1/random/alone -1.4/e1.00  thoughtK/same_answer/plus_removal +3.4/e0.00  thoughtK/random/plus_removal +2.7/e1.00  decoy_edges/path/plus_removal +2.6/e0.00  cand_tokens/path/alone -4.3/e0.00
graph 23: base T 100.0  qk_removal -3.7/e0.01  mlp/answer/L1/mean/alone -0.2/e0.07  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -29.0/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -54.6/e1.00  decoy_edges/path/plus_removal -21.6/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 24: base T 0.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone +0.3/e0.03  mlp/answer/L1/same_answer/alone +99.0/e0.00  mlp/answer/L1/random/alone +0.5/e1.00  thoughtK/same_answer/plus_removal +99.9/e0.00  thoughtK/random/plus_removal +2.9/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 25: base T 100.0  qk_removal -0.2/e0.00  mlp/answer/L1/mean/alone -0.2/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -99.9/e0.91  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -99.9/e0.31  decoy_edges/path/plus_removal -0.1/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 26: base T 83.8  qk_removal -69.4/e0.00  mlp/answer/L1/mean/alone -42.6/e0.95  mlp/answer/L1/same_answer/alone +15.0/e0.00  mlp/answer/L1/random/alone -72.8/e1.00  thoughtK/same_answer/plus_removal +15.4/e0.00  thoughtK/random/plus_removal -69.3/e1.00  decoy_edges/path/plus_removal -79.8/e0.00  cand_tokens/path/alone -17.1/e0.00
graph 27: base T 100.0  qk_removal -31.9/e0.25  mlp/answer/L1/mean/alone -5.3/e0.05  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -49.1/e0.21  cand_tokens/path/alone +0.0/e0.00
graph 28: base T 99.9  qk_removal -55.5/e0.00  mlp/answer/L1/mean/alone -18.3/e0.09  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -83.1/e1.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/plus_removal -92.9/e1.00  decoy_edges/path/plus_removal -55.8/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 29: base T 99.1  qk_removal -20.5/e0.01  mlp/answer/L1/mean/alone +0.0/e0.00  mlp/answer/L1/same_answer/alone +0.9/e0.00  mlp/answer/L1/random/alone -73.5/e1.00  thoughtK/same_answer/plus_removal +0.9/e0.00  thoughtK/random/plus_removal -77.9/e1.00  decoy_edges/path/plus_removal -28.4/e0.01  cand_tokens/path/alone +0.1/e0.01
graph 30: base T 99.9  qk_removal -2.4/e0.05  mlp/answer/L1/mean/alone -17.7/e0.71  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -88.8/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -96.8/e1.00  decoy_edges/path/plus_removal -10.2/e0.03  cand_tokens/path/alone +0.0/e0.01
graph 31: base T 99.6  qk_removal -99.6/e0.00  mlp/answer/L1/mean/alone -33.9/e0.00  mlp/answer/L1/same_answer/alone +0.4/e0.00  mlp/answer/L1/random/alone -2.3/e1.00  thoughtK/same_answer/plus_removal +0.4/e0.00  thoughtK/random/plus_removal -4.5/e1.00  decoy_edges/path/plus_removal -99.6/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 32: base T 100.0  qk_removal -1.8/e0.02  mlp/answer/L1/mean/alone -0.4/e0.01  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -7.4/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -40.8/e1.00  decoy_edges/path/plus_removal -3.9/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 33: base T 99.9  qk_removal -68.8/e0.02  mlp/answer/L1/mean/alone -0.4/e0.02  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -22.5/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -57.9/e1.00  decoy_edges/path/plus_removal -66.9/e0.02  cand_tokens/path/alone +0.1/e0.00
graph 34: base T 100.0  qk_removal -3.2/e0.03  mlp/answer/L1/mean/alone -5.8/e0.21  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -55.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -81.8/e1.00  decoy_edges/path/plus_removal -8.5/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 35: base T 94.3  qk_removal -92.9/e0.00  mlp/answer/L1/mean/alone -11.1/e0.08  mlp/answer/L1/same_answer/alone +5.4/e0.00  mlp/answer/L1/random/alone -15.3/e1.00  thoughtK/same_answer/plus_removal +5.6/e0.00  thoughtK/random/plus_removal -24.0/e1.00  decoy_edges/path/plus_removal -92.8/e0.00  cand_tokens/path/alone -1.5/e0.00
graph 36: base T 100.0  qk_removal -9.9/e0.01  mlp/answer/L1/mean/alone -81.2/e0.08  mlp/answer/L1/same_answer/alone -1.6/e0.00  mlp/answer/L1/random/alone -11.3/e1.00  thoughtK/same_answer/plus_removal -5.0/e0.00  thoughtK/random/plus_removal -20.1/e1.00  decoy_edges/path/plus_removal -12.8/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 37: base T 98.0  qk_removal -91.0/e0.01  mlp/answer/L1/mean/alone -2.4/e0.20  mlp/answer/L1/same_answer/alone +2.0/e0.00  mlp/answer/L1/random/alone -17.7/e1.00  thoughtK/same_answer/plus_removal +2.0/e0.00  thoughtK/random/plus_removal -9.9/e1.00  decoy_edges/path/plus_removal -90.9/e0.01  cand_tokens/path/alone +0.3/e0.00
graph 38: base T 100.0  qk_removal -40.5/e0.00  mlp/answer/L1/mean/alone -0.7/e0.07  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -43.8/e1.00  thoughtK/same_answer/plus_removal -2.3/e0.01  thoughtK/random/plus_removal -74.5/e1.00  decoy_edges/path/plus_removal -41.4/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 39: base T 80.5  qk_removal +2.4/e0.00  mlp/answer/L1/mean/alone +3.5/e0.05  mlp/answer/L1/same_answer/alone +14.7/e0.00  mlp/answer/L1/random/alone +19.5/e0.00  thoughtK/same_answer/plus_removal +17.6/e0.00  thoughtK/random/plus_removal +19.5/e0.00  decoy_edges/path/plus_removal +1.0/e0.00  cand_tokens/path/alone -4.7/e0.00
graph 40: base T 99.4  qk_removal -29.1/e0.03  mlp/answer/L1/mean/alone -25.6/e0.05  mlp/answer/L1/same_answer/alone +0.6/e0.00  mlp/answer/L1/random/alone -99.4/e0.00  thoughtK/same_answer/plus_removal +0.6/e0.00  thoughtK/random/plus_removal -99.4/e0.00  decoy_edges/path/plus_removal -53.0/e0.02  cand_tokens/path/alone +0.1/e0.00
graph 41: base T 97.3  qk_removal -91.0/e0.00  mlp/answer/L1/mean/alone -55.2/e0.01  mlp/answer/L1/same_answer/alone +2.4/e0.00  mlp/answer/L1/random/alone -16.3/e1.00  thoughtK/same_answer/plus_removal +2.6/e0.00  thoughtK/random/plus_removal -48.0/e1.00  decoy_edges/path/plus_removal -90.9/e0.00  cand_tokens/path/alone -0.3/e0.00
graph 42: base T 95.9  qk_removal -93.9/e0.00  mlp/answer/L1/mean/alone -94.0/e0.85  mlp/answer/L1/same_answer/alone +4.0/e0.00  mlp/answer/L1/random/alone -84.3/e1.00  thoughtK/same_answer/plus_removal +4.1/e0.00  thoughtK/random/plus_removal -75.2/e1.00  decoy_edges/path/plus_removal -95.0/e0.00  cand_tokens/path/alone +2.0/e0.00
graph 43: base T 100.0  qk_removal -0.7/e0.46  mlp/answer/L1/mean/alone -0.2/e0.05  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -19.6/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -62.7/e1.00  decoy_edges/path/plus_removal -0.7/e0.45  cand_tokens/path/alone +0.0/e0.00
graph 44: base T 99.5  qk_removal -0.4/e0.01  mlp/answer/L1/mean/alone -2.3/e0.52  mlp/answer/L1/same_answer/alone +0.5/e0.00  mlp/answer/L1/random/alone -42.6/e1.00  thoughtK/same_answer/plus_removal +0.5/e0.00  thoughtK/random/plus_removal -25.2/e1.00  decoy_edges/path/plus_removal -0.4/e0.01  cand_tokens/path/alone -0.1/e0.03
graph 45: base T 100.0  qk_removal -0.4/e0.00  mlp/answer/L1/mean/alone -0.0/e0.08  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.1/e1.00  decoy_edges/path/plus_removal -0.3/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 46: base T 99.5  qk_removal -99.3/e0.00  mlp/answer/L1/mean/alone -36.3/e0.03  mlp/answer/L1/same_answer/alone +0.5/e0.00  mlp/answer/L1/random/alone -70.8/e1.00  thoughtK/same_answer/plus_removal +0.5/e0.00  thoughtK/random/plus_removal -88.1/e1.00  decoy_edges/path/plus_removal -99.3/e0.00  cand_tokens/path/alone +0.1/e0.00
graph 47: base T 99.2  qk_removal -96.7/e0.01  mlp/answer/L1/mean/alone -74.8/e0.06  mlp/answer/L1/same_answer/alone +0.8/e0.00  mlp/answer/L1/random/alone -14.0/e0.98  thoughtK/same_answer/plus_removal +0.8/e0.00  thoughtK/random/plus_removal -27.1/e1.00  decoy_edges/path/plus_removal -96.6/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 48: base T 93.0  qk_removal -93.0/e0.00  mlp/answer/L1/mean/alone -19.0/e0.49  mlp/answer/L1/same_answer/alone +7.0/e0.00  mlp/answer/L1/random/alone +7.0/e0.00  thoughtK/same_answer/plus_removal +7.0/e0.00  thoughtK/random/plus_removal +7.0/e0.00  decoy_edges/path/plus_removal -93.0/e0.00  cand_tokens/path/alone +4.0/e0.00
graph 49: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.2/e0.68  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -5.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -15.9/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 50: base T 100.0  qk_removal -21.7/e0.00  mlp/answer/L1/mean/alone -8.2/e0.01  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -4.0/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -14.7/e1.00  decoy_edges/path/plus_removal -21.8/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 51: base T 100.0  qk_removal -92.6/e0.00  mlp/answer/L1/mean/alone -79.2/e0.22  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -96.8/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 52: base T 100.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone -2.5/e0.19  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -54.5/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -37.6/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 53: base T 99.8  qk_removal -5.7/e0.01  mlp/answer/L1/mean/alone -77.2/e0.49  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -94.1/e1.00  thoughtK/same_answer/plus_removal -0.8/e0.00  thoughtK/random/plus_removal -91.9/e1.00  decoy_edges/path/plus_removal -5.6/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 54: base T 100.0  qk_removal -5.1/e0.01  mlp/answer/L1/mean/alone -1.8/e0.02  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -65.3/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -82.4/e1.00  decoy_edges/path/plus_removal -6.2/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 55: base T 100.0  qk_removal -0.9/e0.01  mlp/answer/L1/mean/alone -0.1/e0.01  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -17.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -67.7/e1.00  decoy_edges/path/plus_removal -0.9/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 56: base T 99.3  qk_removal -99.1/e0.00  mlp/answer/L1/mean/alone -84.8/e0.29  mlp/answer/L1/same_answer/alone +0.7/e0.00  mlp/answer/L1/random/alone -45.2/e1.00  thoughtK/same_answer/plus_removal +0.6/e0.00  thoughtK/random/plus_removal -69.1/e1.00  decoy_edges/path/plus_removal -99.2/e0.00  cand_tokens/path/alone -0.4/e0.00
graph 57: base T 100.0  qk_removal -1.4/e0.06  mlp/answer/L1/mean/alone -7.7/e0.01  mlp/answer/L1/same_answer/alone -0.6/e0.00  mlp/answer/L1/random/alone -99.9/e0.00  thoughtK/same_answer/plus_removal -4.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -3.7/e0.07  cand_tokens/path/alone +0.0/e0.00
graph 58: base T 100.0  qk_removal -7.0/e0.03  mlp/answer/L1/mean/alone -0.1/e0.02  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -46.1/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 59: base T 100.0  qk_removal -34.7/e0.94  mlp/answer/L1/mean/alone -21.4/e0.20  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -12.0/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -16.1/e1.00  decoy_edges/path/plus_removal -67.3/e0.89  cand_tokens/path/alone -0.0/e0.00
graph 60: base T 100.0  qk_removal -0.0/e0.25  mlp/answer/L1/mean/alone -7.4/e1.00  mlp/answer/L1/same_answer/alone +0.0/e0.01  mlp/answer/L1/random/alone -6.9/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.03  thoughtK/random/plus_removal -0.8/e1.00  decoy_edges/path/plus_removal -0.0/e0.25  cand_tokens/path/alone -0.0/e0.82
graph 61: base T 100.0  qk_removal -0.2/e0.00  mlp/answer/L1/mean/alone -1.0/e0.00  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -92.8/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -45.7/e0.61  decoy_edges/path/plus_removal -0.3/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 62: base T 100.0  qk_removal -2.9/e0.00  mlp/answer/L1/mean/alone -0.1/e0.00  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -7.3/e0.96  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -4.2/e0.96  decoy_edges/path/plus_removal -16.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 63: base T 100.0  qk_removal -4.0/e0.02  mlp/answer/L1/mean/alone -49.4/e0.77  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -50.6/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.2/e0.08  decoy_edges/path/plus_removal -4.0/e0.02  cand_tokens/path/alone -0.0/e0.00
graph 64: base T 100.0  qk_removal -0.1/e0.25  mlp/answer/L1/mean/alone -3.5/e0.13  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -10.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -8.3/e1.00  decoy_edges/path/plus_removal -0.2/e0.24  cand_tokens/path/alone +0.0/e0.00
graph 65: base T 100.0  qk_removal -1.1/e0.03  mlp/answer/L1/mean/alone -0.0/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.0/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.3/e1.00  decoy_edges/path/plus_removal -7.4/e0.03  cand_tokens/path/alone +0.0/e0.00
graph 66: base T 0.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone +0.0/e0.61  mlp/answer/L1/same_answer/alone +99.8/e0.00  mlp/answer/L1/random/alone +0.0/e1.00  thoughtK/same_answer/plus_removal +99.9/e0.00  thoughtK/random/plus_removal +0.0/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 67: base T 100.0  qk_removal -0.2/e0.02  mlp/answer/L1/mean/alone -0.1/e0.08  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -1.3/e0.01  cand_tokens/path/alone +0.0/e0.00
