`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 71.5  donor/edges/k/L2 +14.4/e0.24  donor/edges/v/L2 +27.2/e0.02  donor/latents_intermediate/kv/both +1.6/e0.01  random_graph/edges/k/L2 +21.5/e0.40
graph 47: base T 99.2  donor/edges/k/L2 -98.8/e0.01  donor/edges/v/L2 -99.2/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -98.2/e0.58
graph 48: base T 93.0  donor/edges/k/L2 -76.4/e0.01  donor/edges/v/L2 +5.1/e0.00  donor/latents_intermediate/kv/both -0.2/e0.00  random_graph/edges/k/L2 -93.0/e0.00
graph 49: base T 100.0  donor/edges/k/L2 -0.2/e0.00  donor/edges/v/L2 -2.0/e0.05  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.02
graph 50: base T 100.0  donor/edges/k/L2 -0.1/e0.00  donor/edges/v/L2 -0.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -4.0/e0.00
graph 51: base T 100.0  donor/edges/k/L2 -100.0/e0.00  donor/edges/v/L2 -95.4/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -61.5/e0.03
graph 52: base T 100.0  donor/edges/k/L2 -0.1/e0.00  donor/edges/v/L2 -1.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 53: base T 99.8  donor/edges/k/L2 -99.1/e0.00  donor/edges/v/L2 -9.4/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -84.7/e0.01
graph 54: base T 100.0  donor/edges/k/L2 -28.5/e0.00  donor/edges/v/L2 -0.0/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -9.1/e0.03
graph 55: base T 100.0  donor/edges/k/L2 -0.3/e0.00  donor/edges/v/L2 -0.7/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 56: base T 99.3  donor/edges/k/L2 -99.1/e0.00  donor/edges/v/L2 -8.4/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -4.8/e0.00
graph 57: base T 100.0  donor/edges/k/L2 -72.2/e0.00  donor/edges/v/L2 -95.4/e0.01  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -99.3/e0.00
graph 58: base T 100.0  donor/edges/k/L2 -99.9/e0.00  donor/edges/v/L2 -99.7/e0.17  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -99.8/e0.00
graph 59: base T 100.0  donor/edges/k/L2 -99.9/e0.00  donor/edges/v/L2 -99.9/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -87.6/e0.03
graph 60: base T 100.0  donor/edges/k/L2 -0.0/e0.23  donor/edges/v/L2 -0.0/e0.11  donor/latents_intermediate/kv/both +0.0/e0.28  random_graph/edges/k/L2 -0.2/e0.72
graph 61: base T 100.0  donor/edges/k/L2 -3.3/e0.00  donor/edges/v/L2 -0.9/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 62: base T 100.0  donor/edges/k/L2 -2.0/e0.00  donor/edges/v/L2 -39.7/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -2.1/e0.00
graph 63: base T 100.0  donor/edges/k/L2 -17.3/e0.07  donor/edges/v/L2 -0.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.1/e0.00
graph 64: base T 100.0  donor/edges/k/L2 -1.7/e0.03  donor/edges/v/L2 -12.7/e0.02  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -1.2/e0.05
graph 65: base T 100.0  donor/edges/k/L2 -96.1/e0.01  donor/edges/v/L2 -99.8/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -71.1/e0.16
graph 66: base T 0.0  donor/edges/k/L2 +0.0/e0.00  donor/edges/v/L2 +0.2/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 +0.5/e0.00
graph 67: base T 100.0  donor/edges/k/L2 -29.0/e0.03  donor/edges/v/L2 -49.8/e0.01  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -9.3/e0.00
graph 68: base T 99.8  donor/edges/k/L2 -99.6/e0.00  donor/edges/v/L2 -99.7/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -97.7/e0.00
graph 69: base T 100.0  donor/edges/k/L2 -0.0/e0.00  donor/edges/v/L2 -0.3/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 +0.0/e0.00
graph 70: base T 99.9  donor/edges/k/L2 -99.6/e0.00  donor/edges/v/L2 -99.5/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -99.1/e0.00
graph 71: base T 100.0  donor/edges/k/L2 -97.6/e0.00  donor/edges/v/L2 -73.4/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -11.1/e0.02
graph 72: base T 100.0  donor/edges/k/L2 -85.0/e0.00  donor/edges/v/L2 -86.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.9/e0.00
graph 73: base T 100.0  donor/edges/k/L2 -66.0/e0.01  donor/edges/v/L2 -0.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -99.9/e0.00
graph 74: base T 100.0  donor/edges/k/L2 -92.6/e0.00  donor/edges/v/L2 -32.9/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -15.4/e0.00
graph 75: base T 99.4  donor/edges/k/L2 -73.4/e0.01  donor/edges/v/L2 +0.6/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -75.3/e0.00
graph 76: base T 100.0  donor/edges/k/L2 -6.1/e0.01  donor/edges/v/L2 -72.2/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -74.2/e0.00
graph 77: base T 98.8  donor/edges/k/L2 -98.4/e0.01  donor/edges/v/L2 -48.7/e0.03  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -97.3/e0.01
graph 78: base T 100.0  donor/edges/k/L2 -0.0/e0.02  donor/edges/v/L2 -31.7/e0.02  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.2/e0.11
graph 79: base T 100.0  donor/edges/k/L2 -57.8/e0.00  donor/edges/v/L2 -1.6/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -1.8/e0.01
graph 80: base T 100.0  donor/edges/k/L2 -8.0/e0.01  donor/edges/v/L2 -10.1/e0.01  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.9/e0.00
graph 81: base T 100.0  donor/edges/k/L2 -14.6/e0.00  donor/edges/v/L2 -4.2/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -10.7/e0.01
graph 82: base T 100.0  donor/edges/k/L2 -48.1/e0.00  donor/edges/v/L2 -56.3/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -96.3/e0.00
graph 83: base T 100.0  donor/edges/k/L2 -0.5/e0.00  donor/edges/v/L2 -1.3/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 84: base T 94.3  donor/edges/k/L2 +5.6/e0.00  donor/edges/v/L2 -6.8/e0.01  donor/latents_intermediate/kv/both +0.1/e0.00  random_graph/edges/k/L2 +5.5/e0.00
graph 85: base T 100.0  donor/edges/k/L2 -87.8/e0.03  donor/edges/v/L2 -38.2/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -88.6/e0.00
graph 86: base T 100.0  donor/edges/k/L2 -92.8/e0.14  donor/edges/v/L2 -99.8/e0.16  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -82.7/e0.03
graph 87: base T 100.0  donor/edges/k/L2 +0.0/e0.00  donor/edges/v/L2 -0.0/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 88: base T 100.0  donor/edges/k/L2 -0.4/e0.00  donor/edges/v/L2 -0.1/e0.01  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -79.8/e0.02
graph 89: base T 100.0  donor/edges/k/L2 -0.0/e0.02  donor/edges/v/L2 -0.0/e0.21  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.03
graph 90: base T 99.6  donor/edges/k/L2 -42.1/e0.00  donor/edges/v/L2 -98.7/e0.01  donor/latents_intermediate/kv/both -0.2/e0.00  random_graph/edges/k/L2 -98.1/e0.00
graph 91: base T 11.3  donor/edges/k/L2 +80.5/e0.01  donor/edges/v/L2 -1.5/e0.01  donor/latents_intermediate/kv/both +0.5/e0.00  random_graph/edges/k/L2 +67.8/e0.00
graph 92: base T 100.0  donor/edges/k/L2 -24.3/e0.00  donor/edges/v/L2 -95.1/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -98.5/e0.00
graph 93: base T 99.8  donor/edges/k/L2 -14.8/e0.00  donor/edges/v/L2 -0.4/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -3.8/e0.00
graph 94: base T 100.0  donor/edges/k/L2 -83.7/e0.00  donor/edges/v/L2 -99.9/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -95.6/e0.00
graph 95: base T 100.0  donor/edges/k/L2 -1.6/e0.26  donor/edges/v/L2 -0.0/e0.04  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.0/e0.00
graph 96: base T 100.0  donor/edges/k/L2 -2.0/e0.00  donor/edges/v/L2 -7.8/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -0.7/e0.00
graph 97: base T 99.9  donor/edges/k/L2 -41.3/e0.00  donor/edges/v/L2 -4.9/e0.00  donor/latents_intermediate/kv/both +0.0/e0.00  random_graph/edges/k/L2 -1.3/e0.00
graph 98: base T 99.9  donor/edges/k/L2 -33.9/e0.30  donor/edges/v/L2 -5.0/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -0.3/e0.02
graph 99: base T 100.0  donor/edges/k/L2 -20.5/e0.00  donor/edges/v/L2 -72.9/e0.00  donor/latents_intermediate/kv/both -0.0/e0.00  random_graph/edges/k/L2 -95.5/e0.07
written: /Users/ecaterina/Developer/phoenix/results/seed1/cache_patch_n100.json
