The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
load: {'n_keys': 150, 'stripped_prefixes': [], 'special_rows_min_gap_to_mean': 3.552187442779541}
primary route (edge_head_cut_0.5, 62 heads): ['L1H0', 'L1H2', 'L1H6', 'L1H8', 'L1H9', 'L1H10', 'L1H11', 'L2H0', 'L2H1', 'L2H2', 'L2H3', 'L2H4', 'L2H5', 'L2H6', 'L2H7', 'L2H8', 'L2H9', 'L2H10', 'L2H11', 'L3H0', 'L3H1', 'L3H2', 'L3H3', 'L3H4', 'L3H5', 'L3H6', 'L3H7', 'L3H8', 'L3H9', 'L3H10', 'L3H11', 'L4H4', 'L4H6', 'L4H7', 'L5H4', 'L5H10', 'L6H6', 'L6H9', 'L6H10', 'L6H11', 'L7H2', 'L7H6', 'L7H7', 'L8H0', 'L8H1', 'L8H3', 'L8H5', 'L8H6', 'L8H7', 'L9H0', 'L9H1', 'L9H2', 'L9H3', 'L9H6', 'L9H7', 'L9H8', 'L9H10', 'L9H11', 'L10H2', 'L10H4', 'L10H9', 'L11H7']
content route (content_cut_0.5, 1 heads): ['L2H7']
graph 0: L=3 base T 80.2 e 0.00  path attn 1.93->2.15  reserialized -72.7/e0.03  same_answer_donor/intermediates -0.3/e0.00  qk_removal -0.2/e0.00  qk_random -0.2/e0.00  latents_mask/path/alone +0.1/e0.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/alone +0.1/e0.00
graph 11: L=3 base T 100.0 e 0.00  path attn 0.75->0.59  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 12: L=3 base T 100.0 e 0.00  path attn 1.28->0.52  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 13: L=4 base T 100.0 e 0.00  path attn 1.20->0.93  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 14: L=3 base T 100.0 e 0.00  path attn 0.84->0.94  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 15: L=3 base T 100.0 e 0.00  path attn 0.77->0.65  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 16: L=4 base T 100.0 e 0.00  path attn 3.95->2.15  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 17: L=4 base T 100.0 e 0.00  path attn 0.35->0.49  reserialized -0.8/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 18: L=4 base T 100.0 e 0.00  path attn 0.99->0.90  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e-0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e-0.00  thoughtK/random/alone -0.0/e0.00
graph 19: L=4 base T 100.0 e 0.00  path attn 0.69->0.62  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 20: L=4 base T 100.0 e 0.00  path attn 1.93->1.44  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 21: L=4 base T 100.0 e 0.00  path attn 3.34->1.37  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 22: L=4 base T 100.0 e 0.00  path attn 0.99->0.50  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 23: L=4 base T 100.0 e 0.00  path attn 0.92->1.11  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 24: L=4 base T 58.8 e 0.00  path attn 0.50->0.50  reserialized -58.8/e0.00  same_answer_donor/intermediates +0.1/e0.00  qk_removal +0.3/e0.00  qk_random -0.6/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.2/e0.00  thoughtK/random/alone -0.1/e0.00
graph 25: L=3 base T 100.0 e 0.00  path attn 0.79->0.62  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 26: L=4 base T 100.0 e 0.00  path attn 0.50->0.42  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 27: L=4 base T 100.0 e 0.00  path attn 0.45->0.39  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 28: L=4 base T 100.0 e 0.00  path attn 1.14->1.12  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 29: L=3 base T 100.0 e 0.00  path attn 0.33->0.27  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 30: L=3 base T 100.0 e 0.00  path attn 1.39->0.95  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 31: L=4 base T 96.6 e 0.10  path attn 0.62->0.54  reserialized +3.4/e0.00  same_answer_donor/intermediates -0.1/e0.10  qk_removal +0.0/e0.10  qk_random +0.1/e0.10  latents_mask/path/alone +0.0/e0.10  thoughtK/same_answer/plus_removal -0.0/e0.10  thoughtK/random/alone +0.0/e0.10
graph 32: L=4 base T 100.0 e 0.00  path attn 0.75->0.46  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 33: L=3 base T 100.0 e 0.00  path attn 0.50->0.28  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 34: L=3 base T 100.0 e 0.00  path attn 0.97->1.08  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 35: L=4 base T 100.0 e 0.00  path attn 0.77->1.04  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 36: L=4 base T 100.0 e 0.00  path attn 0.76->0.94  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 37: L=4 base T 99.1 e 0.00  path attn 0.70->0.52  reserialized +0.9/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 38: L=4 base T 100.0 e 0.00  path attn 0.77->1.04  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 39: L=4 base T 79.9 e 0.01  path attn 0.97->1.08  reserialized -75.4/e0.00  same_answer_donor/intermediates +0.8/e0.01  qk_removal +0.6/e0.01  qk_random +0.4/e0.01  latents_mask/path/alone -0.0/e0.01  thoughtK/same_answer/plus_removal +0.7/e0.01  thoughtK/random/alone +0.1/e0.01
graph 40: L=4 base T 100.0 e 0.00  path attn 4.83->2.23  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 41: L=3 base T 100.0 e 0.00  path attn 2.48->2.11  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 42: L=4 base T 100.0 e 0.00  path attn 0.44->0.26  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 43: L=4 base T 100.0 e 0.00  path attn 2.41->1.20  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 44: L=3 base T 100.0 e 0.00  path attn 0.93->0.74  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 45: L=3 base T 100.0 e 0.00  path attn 3.90->3.22  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 46: L=3 base T 99.9 e 0.00  path attn 2.97->1.29  reserialized +0.1/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 47: L=3 base T 100.0 e 0.00  path attn 2.12->1.68  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 48: L=4 base T 100.0 e 0.00  path attn 1.07->0.59  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 49: L=3 base T 100.0 e 0.00  path attn 2.57->1.10  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 50: L=4 base T 94.4 e 0.00  path attn 0.50->0.41  reserialized -94.4/e0.00  same_answer_donor/intermediates +0.1/e0.00  qk_removal +0.0/e0.00  qk_random -0.2/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 51: L=4 base T 100.0 e 0.00  path attn 1.59->1.09  reserialized -0.2/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 52: L=3 base T 100.0 e 0.00  path attn 3.13->5.54  reserialized -0.2/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 53: L=3 base T 100.0 e 0.00  path attn 0.69->0.88  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 54: L=3 base T 100.0 e 0.00  path attn 0.42->0.30  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 55: L=4 base T 100.0 e 0.00  path attn 0.59->0.38  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 56: L=3 base T 100.0 e 0.00  path attn 0.52->0.55  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 57: L=3 base T 100.0 e 0.00  path attn 0.84->0.54  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 58: L=4 base T 100.0 e 0.00  path attn 0.94->0.84  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 59: L=4 base T 100.0 e 0.00  path attn 0.67->0.64  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 60: L=4 base T 0.0 e 0.00  path attn 0.38->0.33  reserialized +99.9/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 61: L=4 base T 100.0 e 0.00  path attn 0.61->0.48  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 62: L=3 base T 100.0 e 0.00  path attn 1.14->1.32  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 63: L=4 base T 100.0 e 0.00  path attn 0.98->0.59  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 64: L=4 base T 100.0 e 0.00  path attn 2.54->1.64  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 65: L=3 base T 100.0 e 0.00  path attn 0.82->0.79  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 66: L=3 base T 100.0 e 0.00  path attn 2.26->0.92  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 67: L=3 base T 100.0 e 0.00  path attn 0.63->0.71  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 68: L=3 base T 100.0 e 0.00  path attn 1.53->1.80  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 69: L=3 base T 100.0 e 0.00  path attn 0.35->0.26  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
graph 70: L=3 base T 100.0 e 0.00  path attn 1.76->1.47  reserialized +0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal +0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 71: L=3 base T 100.0 e 0.00  path attn 0.43->0.63  reserialized -0.0/e0.00  same_answer_donor/intermediates +0.0/e0.00  qk_removal -0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 72: L=4 base T 100.0 e 0.00  path attn 0.52->0.48  reserialized +0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal -0.0/e0.00  qk_random -0.0/e0.00  latents_mask/path/alone -0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/alone -0.0/e0.00
graph 73: L=4 base T 100.0 e 0.00  path attn 3.03->1.63  reserialized -0.0/e0.00  same_answer_donor/intermediates -0.0/e0.00  qk_removal +0.0/e0.00  qk_random +0.0/e0.00  latents_mask/path/alone +0.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/alone +0.0/e0.00
