`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  mlp/answer/L1/mean/alone +0.4/e0.23  mlp/answer/L1/same_answer/alone +1.5/e0.00  mlp/answer/L1/random/alone -5.0/e1.00  thoughtK/same_answer/plus_removal +1.6/e0.00  thoughtK/random/plus_removal -16.8/e1.00  decoy_edges/path/plus_removal -14.6/e0.08  cand_tokens/path/alone +0.3/e0.15
graph 11: base T 100.0  qk_removal -11.0/e0.00  mlp/answer/L1/mean/alone -7.3/e0.09  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -41.8/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 12: base T 100.0  qk_removal -1.0/e0.22  mlp/answer/L1/mean/alone -0.1/e0.36  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -14.2/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -34.4/e1.00  decoy_edges/path/plus_removal -0.7/e0.23  cand_tokens/path/alone +0.0/e0.00
graph 13: base T 100.0  qk_removal -0.3/e0.00  mlp/answer/L1/mean/alone -0.3/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -1.6/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 14: base T 99.9  qk_removal +0.1/e0.00  mlp/answer/L1/mean/alone -2.4/e0.02  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -76.8/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -94.5/e1.00  decoy_edges/path/plus_removal +0.1/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 15: base T 98.3  qk_removal -87.2/e0.00  mlp/answer/L1/mean/alone -31.1/e0.18  mlp/answer/L1/same_answer/alone +1.7/e0.00  mlp/answer/L1/random/alone -1.3/e1.00  thoughtK/same_answer/plus_removal +1.7/e0.00  thoughtK/random/plus_removal -4.4/e1.00  decoy_edges/path/plus_removal -88.1/e0.00  cand_tokens/path/alone +0.3/e0.00
graph 16: base T 100.0  qk_removal -0.1/e0.10  mlp/answer/L1/mean/alone -2.1/e0.89  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -63.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -92.7/e1.00  decoy_edges/path/plus_removal -0.2/e0.10  cand_tokens/path/alone -0.0/e0.00
graph 17: base T 100.0  qk_removal -95.7/e0.00  mlp/answer/L1/mean/alone -1.8/e0.04  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -10.8/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -47.7/e1.00  decoy_edges/path/plus_removal -94.1/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 18: base T 100.0  qk_removal -0.9/e0.00  mlp/answer/L1/mean/alone -0.5/e0.09  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -1.8/e1.00  decoy_edges/path/plus_removal -0.9/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 19: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.03  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -60.2/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -95.2/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 20: base T 100.0  qk_removal -0.9/e0.03  mlp/answer/L1/mean/alone -0.1/e0.24  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -22.8/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -46.6/e1.00  decoy_edges/path/plus_removal -2.0/e0.02  cand_tokens/path/alone -0.0/e0.00
graph 21: base T 100.0  qk_removal -0.1/e0.00  mlp/answer/L1/mean/alone -0.0/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -18.0/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -44.6/e1.00  decoy_edges/path/plus_removal -0.2/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 22: base T 99.8  qk_removal -3.4/e0.00  mlp/answer/L1/mean/alone -6.5/e0.02  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -29.4/e1.00  thoughtK/same_answer/plus_removal -0.8/e0.00  thoughtK/random/plus_removal -98.9/e0.98  decoy_edges/path/plus_removal -3.6/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 23: base T 100.0  qk_removal -98.3/e0.01  mlp/answer/L1/mean/alone -26.0/e0.24  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -26.5/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -77.9/e1.00  decoy_edges/path/plus_removal -99.5/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 24: base T 0.0  qk_removal +0.0/e0.05  mlp/answer/L1/mean/alone +3.2/e0.34  mlp/answer/L1/same_answer/alone +99.9/e0.00  mlp/answer/L1/random/alone +79.4/e1.00  thoughtK/same_answer/plus_removal +100.0/e0.00  thoughtK/random/plus_removal +93.3/e1.00  decoy_edges/path/plus_removal +0.0/e0.05  cand_tokens/path/alone -0.0/e0.04
graph 25: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone +0.0/e0.09  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -52.9/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -61.9/e1.00  decoy_edges/path/plus_removal -0.0/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 26: base T 1.1  qk_removal -0.6/e0.00  mlp/answer/L1/mean/alone +10.5/e0.50  mlp/answer/L1/same_answer/alone +98.8/e0.00  mlp/answer/L1/random/alone +8.2/e1.00  thoughtK/same_answer/plus_removal +98.9/e0.00  thoughtK/random/plus_removal +0.9/e0.99  decoy_edges/path/plus_removal -0.6/e0.00  cand_tokens/path/alone +0.4/e0.00
graph 27: base T 100.0  qk_removal -0.2/e0.00  mlp/answer/L1/mean/alone -0.6/e0.15  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -1.6/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 28: base T 97.4  qk_removal -69.9/e0.00  mlp/answer/L1/mean/alone -42.4/e0.45  mlp/answer/L1/same_answer/alone +2.5/e0.00  mlp/answer/L1/random/alone -28.3/e1.00  thoughtK/same_answer/plus_removal +2.5/e0.00  thoughtK/random/plus_removal -69.0/e1.00  decoy_edges/path/plus_removal -70.4/e0.00  cand_tokens/path/alone +0.1/e0.00
graph 29: base T 100.0  qk_removal -52.3/e0.06  mlp/answer/L1/mean/alone -0.2/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -1.5/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -19.9/e1.00  decoy_edges/path/plus_removal -61.0/e0.05  cand_tokens/path/alone +0.0/e0.00
graph 30: base T 100.0  qk_removal -51.1/e0.01  mlp/answer/L1/mean/alone -0.0/e0.07  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -26.4/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -54.6/e1.00  decoy_edges/path/plus_removal -92.5/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 31: base T 68.9  qk_removal -68.9/e0.00  mlp/answer/L1/mean/alone -13.5/e0.03  mlp/answer/L1/same_answer/alone +31.0/e0.00  mlp/answer/L1/random/alone +28.1/e1.00  thoughtK/same_answer/plus_removal +31.0/e0.00  thoughtK/random/plus_removal +27.4/e1.00  decoy_edges/path/plus_removal -68.9/e0.00  cand_tokens/path/alone -0.6/e0.00
graph 32: base T 100.0  qk_removal -0.2/e0.01  mlp/answer/L1/mean/alone -0.1/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -32.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -74.0/e1.00  decoy_edges/path/plus_removal -0.2/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 33: base T 100.0  qk_removal -0.9/e0.01  mlp/answer/L1/mean/alone -0.1/e0.07  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -6.3/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -29.9/e1.00  decoy_edges/path/plus_removal -0.9/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 34: base T 100.0  qk_removal -52.2/e0.72  mlp/answer/L1/mean/alone -12.2/e0.31  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -63.4/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -79.3/e1.00  decoy_edges/path/plus_removal -53.4/e0.71  cand_tokens/path/alone +0.0/e0.00
graph 35: base T 99.2  qk_removal -97.9/e0.00  mlp/answer/L1/mean/alone -16.9/e0.06  mlp/answer/L1/same_answer/alone +0.7/e0.00  mlp/answer/L1/random/alone -9.4/e1.00  thoughtK/same_answer/plus_removal +0.7/e0.00  thoughtK/random/plus_removal -17.6/e1.00  decoy_edges/path/plus_removal -98.2/e0.00  cand_tokens/path/alone +0.1/e0.00
graph 36: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -3.1/e0.01  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -0.5/e1.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/plus_removal -0.1/e0.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 37: base T 100.0  qk_removal -49.1/e0.01  mlp/answer/L1/mean/alone -1.3/e0.42  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.0/e0.99  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -0.3/e1.00  decoy_edges/path/plus_removal -49.8/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 38: base T 99.9  qk_removal -17.3/e0.28  mlp/answer/L1/mean/alone -0.2/e0.77  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -70.6/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -81.1/e1.00  decoy_edges/path/plus_removal -51.0/e0.22  cand_tokens/path/alone +0.0/e0.00
graph 39: base T 72.7  qk_removal -71.5/e0.00  mlp/answer/L1/mean/alone -5.8/e0.09  mlp/answer/L1/same_answer/alone +27.3/e0.00  mlp/answer/L1/random/alone +27.3/e0.00  thoughtK/same_answer/plus_removal +27.3/e0.00  thoughtK/random/plus_removal +27.3/e0.00  decoy_edges/path/plus_removal -71.5/e0.00  cand_tokens/path/alone -2.7/e0.00
graph 40: base T 100.0  qk_removal -0.5/e0.00  mlp/answer/L1/mean/alone -0.1/e0.04  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -4.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 41: base T 97.1  qk_removal -97.1/e0.00  mlp/answer/L1/mean/alone -91.8/e0.15  mlp/answer/L1/same_answer/alone +2.7/e0.00  mlp/answer/L1/random/alone -45.3/e1.00  thoughtK/same_answer/plus_removal +2.5/e0.00  thoughtK/random/plus_removal -96.5/e1.00  decoy_edges/path/plus_removal -97.1/e0.00  cand_tokens/path/alone +0.7/e0.02
graph 42: base T 96.0  qk_removal -19.9/e0.12  mlp/answer/L1/mean/alone -71.0/e0.71  mlp/answer/L1/same_answer/alone +3.5/e0.00  mlp/answer/L1/random/alone -95.4/e1.00  thoughtK/same_answer/plus_removal +3.7/e0.00  thoughtK/random/plus_removal -95.7/e1.00  decoy_edges/path/plus_removal -24.6/e0.08  cand_tokens/path/alone +1.0/e0.01
graph 43: base T 100.0  qk_removal -0.0/e0.02  mlp/answer/L1/mean/alone -0.0/e0.04  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -16.7/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -51.9/e1.00  decoy_edges/path/plus_removal -0.1/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 44: base T 22.8  qk_removal -11.6/e0.32  mlp/answer/L1/mean/alone +76.8/e0.35  mlp/answer/L1/same_answer/alone +77.2/e0.00  mlp/answer/L1/random/alone +59.3/e1.00  thoughtK/same_answer/plus_removal +77.2/e0.00  thoughtK/random/plus_removal +54.2/e1.00  decoy_edges/path/plus_removal -11.2/e0.32  cand_tokens/path/alone +0.0/e0.40
graph 45: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.1/e0.30  mlp/answer/L1/same_answer/alone -0.8/e0.00  mlp/answer/L1/random/alone -28.8/e1.00  thoughtK/same_answer/plus_removal -0.6/e0.00  thoughtK/random/plus_removal -22.2/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 46: base T 99.9  qk_removal -99.5/e0.00  mlp/answer/L1/mean/alone -95.7/e0.17  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -12.0/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -11.3/e1.00  decoy_edges/path/plus_removal -99.5/e0.00  cand_tokens/path/alone -0.1/e0.00
graph 47: base T 99.8  qk_removal -70.3/e0.46  mlp/answer/L1/mean/alone -97.4/e0.25  mlp/answer/L1/same_answer/alone +0.2/e0.00  mlp/answer/L1/random/alone -49.9/e1.00  thoughtK/same_answer/plus_removal +0.2/e0.00  thoughtK/random/plus_removal -63.6/e1.00  decoy_edges/path/plus_removal -70.8/e0.46  cand_tokens/path/alone -0.0/e0.00
graph 48: base T 98.5  qk_removal -96.7/e0.01  mlp/answer/L1/mean/alone -76.4/e0.08  mlp/answer/L1/same_answer/alone +1.4/e0.00  mlp/answer/L1/random/alone +1.5/e0.00  thoughtK/same_answer/plus_removal +1.5/e0.00  thoughtK/random/plus_removal +1.4/e0.00  decoy_edges/path/plus_removal -96.4/e0.01  cand_tokens/path/alone -0.1/e0.00
graph 49: base T 100.0  qk_removal -7.9/e0.76  mlp/answer/L1/mean/alone -0.1/e0.20  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -32.8/e1.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/plus_removal -56.6/e1.00  decoy_edges/path/plus_removal -30.0/e0.75  cand_tokens/path/alone +0.0/e0.00
graph 50: base T 99.9  qk_removal -29.1/e0.00  mlp/answer/L1/mean/alone -7.9/e0.03  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -3.0/e1.00  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -5.6/e1.00  decoy_edges/path/plus_removal -29.3/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 51: base T 99.9  qk_removal -8.2/e0.21  mlp/answer/L1/mean/alone -18.4/e0.14  mlp/answer/L1/same_answer/alone +0.1/e0.00  mlp/answer/L1/random/alone -99.9/e0.01  thoughtK/same_answer/plus_removal +0.1/e0.00  thoughtK/random/plus_removal -99.9/e0.00  decoy_edges/path/plus_removal -8.3/e0.22  cand_tokens/path/alone -0.0/e0.01
graph 52: base T 100.0  qk_removal +0.0/e0.00  mlp/answer/L1/mean/alone -0.3/e0.12  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -97.7/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -98.4/e1.00  decoy_edges/path/plus_removal +0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 53: base T 99.9  qk_removal -99.7/e0.00  mlp/answer/L1/mean/alone -53.6/e0.25  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -90.8/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -93.9/e1.00  decoy_edges/path/plus_removal -99.7/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 54: base T 100.0  qk_removal -19.8/e0.01  mlp/answer/L1/mean/alone -1.6/e0.10  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -55.2/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -75.7/e1.00  decoy_edges/path/plus_removal -20.5/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 55: base T 100.0  qk_removal -1.8/e0.01  mlp/answer/L1/mean/alone +0.0/e0.08  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -4.1/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -8.9/e1.00  decoy_edges/path/plus_removal -1.7/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 56: base T 100.0  qk_removal -22.0/e0.00  mlp/answer/L1/mean/alone -27.2/e0.21  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -46.7/e1.00  thoughtK/same_answer/plus_removal -4.8/e0.00  thoughtK/random/plus_removal -48.2/e1.00  decoy_edges/path/plus_removal -23.8/e0.00  cand_tokens/path/alone -0.0/e0.00
graph 57: base T 100.0  qk_removal -0.2/e0.01  mlp/answer/L1/mean/alone -1.2/e0.10  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal -0.2/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -0.2/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 58: base T 100.0  qk_removal -78.5/e0.01  mlp/answer/L1/mean/alone -17.5/e0.15  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -93.2/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 59: base T 100.0  qk_removal -9.0/e0.08  mlp/answer/L1/mean/alone -39.9/e0.69  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -35.9/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -56.3/e1.00  decoy_edges/path/plus_removal -14.0/e0.07  cand_tokens/path/alone +0.0/e0.00
graph 60: base T 100.0  qk_removal -0.0/e0.01  mlp/answer/L1/mean/alone -0.2/e0.93  mlp/answer/L1/same_answer/alone -0.0/e0.01  mlp/answer/L1/random/alone -0.3/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.01  thoughtK/random/plus_removal -0.0/e0.90  decoy_edges/path/plus_removal -0.0/e0.01  cand_tokens/path/alone +0.0/e0.00
graph 61: base T 100.0  qk_removal -14.7/e0.02  mlp/answer/L1/mean/alone -3.4/e0.21  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -8.3/e1.00  thoughtK/same_answer/plus_removal -0.8/e0.00  thoughtK/random/plus_removal -9.0/e0.01  decoy_edges/path/plus_removal -17.7/e0.02  cand_tokens/path/alone -0.0/e0.00
graph 62: base T 100.0  qk_removal -0.1/e0.01  mlp/answer/L1/mean/alone -0.0/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -6.4/e0.99  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -7.1/e1.00  decoy_edges/path/plus_removal -2.2/e0.02  cand_tokens/path/alone +0.0/e0.00
graph 63: base T 99.6  qk_removal -98.8/e0.01  mlp/answer/L1/mean/alone -0.3/e0.71  mlp/answer/L1/same_answer/alone +0.4/e0.00  mlp/answer/L1/random/alone -1.9/e1.00  thoughtK/same_answer/plus_removal -56.2/e0.10  thoughtK/random/plus_removal -76.0/e0.24  decoy_edges/path/plus_removal -98.7/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 64: base T 100.0  qk_removal -87.4/e0.16  mlp/answer/L1/mean/alone -0.6/e0.21  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -4.8/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -6.1/e1.00  decoy_edges/path/plus_removal -97.4/e0.06  cand_tokens/path/alone +0.0/e0.00
graph 65: base T 100.0  qk_removal -0.1/e0.87  mlp/answer/L1/mean/alone -0.1/e0.11  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -59.9/e1.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -94.0/e1.00  decoy_edges/path/plus_removal -0.3/e0.79  cand_tokens/path/alone +0.0/e0.00
graph 66: base T 13.5  qk_removal -13.1/e0.00  mlp/answer/L1/mean/alone -10.6/e0.72  mlp/answer/L1/same_answer/alone +81.7/e0.01  mlp/answer/L1/random/alone -12.7/e1.00  thoughtK/same_answer/plus_removal +82.3/e0.01  thoughtK/random/plus_removal -11.5/e1.00  decoy_edges/path/plus_removal -13.1/e0.00  cand_tokens/path/alone -5.7/e0.06
graph 67: base T 100.0  qk_removal -4.9/e0.04  mlp/answer/L1/mean/alone -0.5/e0.35  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone +0.0/e0.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal +0.0/e0.00  decoy_edges/path/plus_removal -51.2/e0.04  cand_tokens/path/alone +0.0/e0.00
