head sets: {'latents': {0: [0, 1, 3, 6, 7]}, 'answer': {0: [2, 7], 1: [0, 1, 3, 5, 6]}}
`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 98.4  qk_removal -15.8/e0.08  l1_latents/path/alone +0.2/e0.07  l1_latents/path/plus_removal -16.3/e0.06  answer_heads/path/alone -0.0/e0.16  answer_heads/path/plus_removal -16.1/e0.08  all_routes/path/plus_removal -16.6/e0.06  all_routes/offpath/plus_removal -13.2/e0.08  l2_latents_mask/path/alone -0.3/e0.25
graph 11: base T 100.0  qk_removal -11.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -9.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -10.4/e0.00  all_routes/path/plus_removal -9.1/e0.00  all_routes/offpath/plus_removal -8.2/e0.00  l2_latents_mask/path/alone -0.4/e0.00
graph 12: base T 100.0  qk_removal -1.0/e0.22  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -1.1/e0.03  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -1.4/e0.30  all_routes/path/plus_removal -1.4/e0.03  all_routes/offpath/plus_removal -1.4/e0.29  l2_latents_mask/path/alone -0.4/e0.14
graph 13: base T 100.0  qk_removal -0.3/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.3/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.2/e0.00  all_routes/offpath/plus_removal -0.3/e0.00  l2_latents_mask/path/alone -1.4/e0.00
graph 14: base T 99.9  qk_removal +0.1/e0.00  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal +0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal +0.1/e0.00  all_routes/path/plus_removal +0.0/e0.00  all_routes/offpath/plus_removal +0.1/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 15: base T 98.3  qk_removal -87.2/e0.00  l1_latents/path/alone +0.2/e0.00  l1_latents/path/plus_removal -85.1/e0.00  answer_heads/path/alone +0.1/e0.00  answer_heads/path/plus_removal -86.7/e0.00  all_routes/path/plus_removal -84.5/e0.00  all_routes/offpath/plus_removal -87.6/e0.00  l2_latents_mask/path/alone -87.7/e0.07
graph 16: base T 100.0  qk_removal -0.1/e0.10  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.05  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.09  all_routes/path/plus_removal -0.1/e0.05  all_routes/offpath/plus_removal -0.2/e0.09  l2_latents_mask/path/alone -24.1/e0.63
graph 17: base T 100.0  qk_removal -95.7/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -94.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -95.6/e0.00  all_routes/path/plus_removal -94.6/e0.00  all_routes/offpath/plus_removal -95.6/e0.00  l2_latents_mask/path/alone -0.2/e0.00
graph 18: base T 100.0  qk_removal -0.9/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.9/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.4/e0.00  all_routes/path/plus_removal -0.4/e0.00  all_routes/offpath/plus_removal -1.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 19: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.55
graph 20: base T 100.0  qk_removal -0.9/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.8/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.8/e0.03  all_routes/path/plus_removal -0.8/e0.02  all_routes/offpath/plus_removal -0.9/e0.02  l2_latents_mask/path/alone -0.4/e0.02
graph 21: base T 100.0  qk_removal -0.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.00  all_routes/path/plus_removal -0.1/e0.00  all_routes/offpath/plus_removal -0.1/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 22: base T 99.8  qk_removal -3.4/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -3.9/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -3.3/e0.00  all_routes/path/plus_removal -3.9/e0.00  all_routes/offpath/plus_removal -3.8/e0.00  l2_latents_mask/path/alone -1.2/e0.01
graph 23: base T 100.0  qk_removal -98.3/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -98.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -98.2/e0.01  all_routes/path/plus_removal -98.1/e0.01  all_routes/offpath/plus_removal -95.0/e0.01  l2_latents_mask/path/alone -75.7/e0.06
graph 24: base T 0.0  qk_removal +0.0/e0.05  l1_latents/path/alone -0.0/e0.01  l1_latents/path/plus_removal +0.0/e0.01  answer_heads/path/alone +0.0/e0.03  answer_heads/path/plus_removal +0.0/e0.05  all_routes/path/plus_removal +0.0/e0.01  all_routes/offpath/plus_removal +0.0/e0.04  l2_latents_mask/path/alone +0.0/e0.08
graph 25: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.01  l2_latents_mask/path/alone -0.0/e0.00
graph 26: base T 1.1  qk_removal -0.6/e0.00  l1_latents/path/alone -0.3/e0.00  l1_latents/path/plus_removal -0.7/e0.00  answer_heads/path/alone -0.3/e0.00  answer_heads/path/plus_removal -0.7/e0.00  all_routes/path/plus_removal -0.8/e0.00  all_routes/offpath/plus_removal -0.5/e0.00  l2_latents_mask/path/alone -0.5/e0.00
graph 27: base T 100.0  qk_removal -0.2/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.00  all_routes/path/plus_removal -0.2/e0.00  all_routes/offpath/plus_removal -0.4/e0.00  l2_latents_mask/path/alone -0.1/e0.04
graph 28: base T 97.4  qk_removal -69.9/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -60.6/e0.00  answer_heads/path/alone +0.5/e0.00  answer_heads/path/plus_removal -66.5/e0.00  all_routes/path/plus_removal -56.5/e0.00  all_routes/offpath/plus_removal -60.3/e0.00  l2_latents_mask/path/alone -93.8/e0.00
graph 29: base T 100.0  qk_removal -52.3/e0.06  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -48.2/e0.06  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -51.6/e0.06  all_routes/path/plus_removal -47.5/e0.06  all_routes/offpath/plus_removal -49.8/e0.04  l2_latents_mask/path/alone -6.2/e0.43
graph 30: base T 100.0  qk_removal -51.1/e0.01  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -68.8/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -50.2/e0.01  all_routes/path/plus_removal -68.1/e0.01  all_routes/offpath/plus_removal -42.4/e0.01  l2_latents_mask/path/alone -1.6/e0.02
graph 31: base T 68.9  qk_removal -68.9/e0.00  l1_latents/path/alone -15.7/e0.00  l1_latents/path/plus_removal -68.9/e0.00  answer_heads/path/alone -0.3/e0.00  answer_heads/path/plus_removal -68.9/e0.00  all_routes/path/plus_removal -68.9/e0.00  all_routes/offpath/plus_removal -68.9/e0.00  l2_latents_mask/path/alone -68.9/e0.00
graph 32: base T 100.0  qk_removal -0.2/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.2/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.2/e0.01  all_routes/path/plus_removal -0.2/e0.01  all_routes/offpath/plus_removal -0.1/e0.01  l2_latents_mask/path/alone -0.3/e0.02
graph 33: base T 100.0  qk_removal -0.9/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.9/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.9/e0.01  all_routes/path/plus_removal -0.9/e0.01  all_routes/offpath/plus_removal -0.9/e0.01  l2_latents_mask/path/alone -0.3/e0.00
graph 34: base T 100.0  qk_removal -52.2/e0.72  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -40.8/e0.76  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -49.4/e0.73  all_routes/path/plus_removal -38.2/e0.77  all_routes/offpath/plus_removal -40.0/e0.25  l2_latents_mask/path/alone -5.3/e0.83
graph 35: base T 99.2  qk_removal -97.9/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -97.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -98.0/e0.00  all_routes/path/plus_removal -97.3/e0.00  all_routes/offpath/plus_removal -98.2/e0.00  l2_latents_mask/path/alone -96.5/e0.01
graph 36: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.2/e0.00
graph 37: base T 100.0  qk_removal -49.1/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -35.7/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -47.1/e0.01  all_routes/path/plus_removal -33.7/e0.01  all_routes/offpath/plus_removal -32.8/e0.01  l2_latents_mask/path/alone -85.0/e0.01
graph 38: base T 99.9  qk_removal -17.3/e0.28  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -18.8/e0.28  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -17.7/e0.30  all_routes/path/plus_removal -19.3/e0.30  all_routes/offpath/plus_removal -20.8/e0.26  l2_latents_mask/path/alone -1.1/e0.07
graph 39: base T 72.7  qk_removal -71.5/e0.00  l1_latents/path/alone -17.6/e0.01  l1_latents/path/plus_removal -71.7/e0.00  answer_heads/path/alone -1.0/e0.00  answer_heads/path/plus_removal -71.6/e0.00  all_routes/path/plus_removal -71.8/e0.00  all_routes/offpath/plus_removal -71.4/e0.00  l2_latents_mask/path/alone +16.1/e0.01
graph 40: base T 100.0  qk_removal -0.5/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.6/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.00  all_routes/path/plus_removal -0.6/e0.00  all_routes/offpath/plus_removal -0.5/e0.00  l2_latents_mask/path/alone -0.5/e0.00
graph 41: base T 97.1  qk_removal -97.1/e0.00  l1_latents/path/alone +0.1/e0.01  l1_latents/path/plus_removal -97.1/e0.00  answer_heads/path/alone +2.2/e0.00  answer_heads/path/plus_removal -97.1/e0.00  all_routes/path/plus_removal -97.1/e0.00  all_routes/offpath/plus_removal -97.1/e0.00  l2_latents_mask/path/alone -95.9/e0.15
graph 42: base T 96.0  qk_removal -19.9/e0.12  l1_latents/path/alone -4.8/e0.01  l1_latents/path/plus_removal -29.3/e0.12  answer_heads/path/alone -0.2/e0.01  answer_heads/path/plus_removal -20.7/e0.12  all_routes/path/plus_removal -30.2/e0.13  all_routes/offpath/plus_removal -12.7/e0.04  l2_latents_mask/path/alone -15.6/e0.18
graph 43: base T 100.0  qk_removal -0.0/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.02  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.05  l2_latents_mask/path/alone -0.0/e0.07
graph 44: base T 22.8  qk_removal -11.6/e0.32  l1_latents/path/alone -4.4/e0.48  l1_latents/path/plus_removal -14.8/e0.38  answer_heads/path/alone -0.8/e0.35  answer_heads/path/plus_removal -12.1/e0.37  all_routes/path/plus_removal -15.0/e0.42  all_routes/offpath/plus_removal -7.6/e0.41  l2_latents_mask/path/alone -3.6/e0.33
graph 45: base T 100.0  qk_removal -0.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.00  all_routes/path/plus_removal -0.0/e0.00  all_routes/offpath/plus_removal -0.0/e0.00  l2_latents_mask/path/alone -0.0/e0.00
graph 46: base T 99.9  qk_removal -99.5/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -99.5/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -99.5/e0.00  all_routes/path/plus_removal -99.5/e0.00  all_routes/offpath/plus_removal -99.5/e0.00  l2_latents_mask/path/alone -44.2/e0.00
graph 47: base T 99.8  qk_removal -70.3/e0.46  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -45.8/e0.44  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -71.9/e0.48  all_routes/path/plus_removal -48.2/e0.46  all_routes/offpath/plus_removal -72.5/e0.31  l2_latents_mask/path/alone -99.5/e0.04
graph 48: base T 98.5  qk_removal -96.7/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -96.6/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -96.8/e0.01  all_routes/path/plus_removal -96.7/e0.01  all_routes/offpath/plus_removal -95.5/e0.02  l2_latents_mask/path/alone -49.9/e0.00
graph 49: base T 100.0  qk_removal -7.9/e0.76  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -10.0/e0.76  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -8.0/e0.76  all_routes/path/plus_removal -10.2/e0.75  all_routes/offpath/plus_removal -7.9/e0.76  l2_latents_mask/path/alone -0.1/e0.63
graph 50: base T 99.9  qk_removal -29.1/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -27.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -29.4/e0.00  all_routes/path/plus_removal -27.3/e0.00  all_routes/offpath/plus_removal -24.4/e0.00  l2_latents_mask/path/alone -30.6/e0.07
graph 51: base T 99.9  qk_removal -8.2/e0.21  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -5.1/e0.18  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -8.4/e0.21  all_routes/path/plus_removal -5.2/e0.19  all_routes/offpath/plus_removal -9.4/e0.19  l2_latents_mask/path/alone -2.1/e0.03
graph 52: base T 100.0  qk_removal +0.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal +0.0/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal +0.0/e0.00  all_routes/path/plus_removal +0.0/e0.00  all_routes/offpath/plus_removal +0.0/e0.00  l2_latents_mask/path/alone -47.2/e0.96
graph 53: base T 99.9  qk_removal -99.7/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -99.6/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -99.7/e0.00  all_routes/path/plus_removal -99.6/e0.00  all_routes/offpath/plus_removal -99.6/e0.00  l2_latents_mask/path/alone -99.0/e0.00
graph 54: base T 100.0  qk_removal -19.8/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -19.5/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -21.1/e0.01  all_routes/path/plus_removal -20.7/e0.01  all_routes/offpath/plus_removal -19.3/e0.01  l2_latents_mask/path/alone -95.4/e0.06
graph 55: base T 100.0  qk_removal -1.8/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -1.3/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -1.8/e0.01  all_routes/path/plus_removal -1.3/e0.01  all_routes/offpath/plus_removal -1.3/e0.01  l2_latents_mask/path/alone -2.5/e0.06
graph 56: base T 100.0  qk_removal -22.0/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -18.7/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -19.9/e0.00  all_routes/path/plus_removal -16.9/e0.00  all_routes/offpath/plus_removal -13.7/e0.00  l2_latents_mask/path/alone -0.4/e0.00
graph 57: base T 100.0  qk_removal -0.2/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.01  all_routes/path/plus_removal -0.1/e0.01  all_routes/offpath/plus_removal -0.2/e0.01  l2_latents_mask/path/alone -0.0/e0.01
graph 58: base T 100.0  qk_removal -78.5/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -79.0/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -78.4/e0.01  all_routes/path/plus_removal -78.9/e0.01  all_routes/offpath/plus_removal -74.2/e0.01  l2_latents_mask/path/alone -71.8/e0.00
graph 59: base T 100.0  qk_removal -9.0/e0.08  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -10.4/e0.08  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -9.4/e0.09  all_routes/path/plus_removal -11.1/e0.09  all_routes/offpath/plus_removal -11.8/e0.09  l2_latents_mask/path/alone -3.7/e0.16
graph 60: base T 100.0  qk_removal -0.0/e0.01  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.0/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.0/e0.01  all_routes/path/plus_removal -0.0/e0.01  all_routes/offpath/plus_removal -0.0/e0.01  l2_latents_mask/path/alone +0.0/e0.00
graph 61: base T 100.0  qk_removal -14.7/e0.02  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -17.5/e0.02  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -8.4/e0.01  all_routes/path/plus_removal -9.9/e0.01  all_routes/offpath/plus_removal -16.8/e0.01  l2_latents_mask/path/alone -0.7/e0.00
graph 62: base T 100.0  qk_removal -0.1/e0.01  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.01  all_routes/path/plus_removal -0.1/e0.01  all_routes/offpath/plus_removal -0.1/e0.01  l2_latents_mask/path/alone -0.1/e0.03
graph 63: base T 99.6  qk_removal -98.8/e0.01  l1_latents/path/alone -0.6/e0.00  l1_latents/path/plus_removal -98.9/e0.01  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -98.8/e0.01  all_routes/path/plus_removal -98.9/e0.01  all_routes/offpath/plus_removal -98.9/e0.01  l2_latents_mask/path/alone -60.9/e0.00
graph 64: base T 100.0  qk_removal -87.4/e0.16  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -87.4/e0.20  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -87.1/e0.16  all_routes/path/plus_removal -87.1/e0.21  all_routes/offpath/plus_removal -75.8/e0.16  l2_latents_mask/path/alone -0.8/e0.02
graph 65: base T 100.0  qk_removal -0.1/e0.87  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -0.1/e0.90  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.1/e0.86  all_routes/path/plus_removal -0.1/e0.90  all_routes/offpath/plus_removal -0.1/e0.71  l2_latents_mask/path/alone -0.0/e0.87
graph 66: base T 13.5  qk_removal -13.1/e0.00  l1_latents/path/alone -4.0/e0.04  l1_latents/path/plus_removal -13.1/e0.00  answer_heads/path/alone +0.1/e0.04  answer_heads/path/plus_removal -13.1/e0.00  all_routes/path/plus_removal -13.1/e0.00  all_routes/offpath/plus_removal -13.0/e0.00  l2_latents_mask/path/alone +16.6/e0.10
graph 67: base T 100.0  qk_removal -4.9/e0.04  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -4.0/e0.03  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.6/e0.04  all_routes/path/plus_removal -3.7/e0.03  all_routes/offpath/plus_removal -3.6/e0.03  l2_latents_mask/path/alone -65.7/e0.11
graph 68: base T 100.0  qk_removal -4.4/e0.00  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -6.2/e0.00  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -4.0/e0.00  all_routes/path/plus_removal -5.7/e0.00  all_routes/offpath/plus_removal -5.7/e0.00  l2_latents_mask/path/alone -1.9/e0.02
graph 69: base T 100.0  qk_removal -12.6/e0.04  l1_latents/path/alone -0.1/e0.00  l1_latents/path/plus_removal -12.6/e0.03  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -12.8/e0.04  all_routes/path/plus_removal -12.7/e0.03  all_routes/offpath/plus_removal -10.1/e0.02  l2_latents_mask/path/alone -1.1/e0.01
graph 70: base T 100.0  qk_removal -81.2/e0.96  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -81.6/e0.96  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -81.6/e0.96  all_routes/path/plus_removal -82.0/e0.96  all_routes/offpath/plus_removal -77.8/e0.97  l2_latents_mask/path/alone -62.3/e0.02
graph 71: base T 100.0  qk_removal -63.0/e0.00  l1_latents/path/alone +0.0/e0.00  l1_latents/path/plus_removal -59.2/e0.00  answer_heads/path/alone -0.0/e0.00  answer_heads/path/plus_removal -62.0/e0.00  all_routes/path/plus_removal -58.3/e0.00  all_routes/offpath/plus_removal -63.8/e0.00  l2_latents_mask/path/alone -81.7/e0.29
graph 72: base T 100.0  qk_removal -0.5/e0.03  l1_latents/path/alone -0.0/e0.00  l1_latents/path/plus_removal -0.8/e0.01  answer_heads/path/alone +0.0/e0.00  answer_heads/path/plus_removal -0.5/e0.03  all_routes/path/plus_removal -0.8/e0.01  all_routes/offpath/plus_removal -0.5/e0.03  l2_latents_mask/path/alone -4.9/e0.01
